node_index,node_name,op_type,weight_name,weight_shape,weight_parameters,weight_bytes_fp32
134,/blocks/blocks.0/attn/qkv/MatMul,MatMul,onnx::MatMul_1178,768x2304,1769472,7077888
180,/blocks/blocks.0/attn/proj/MatMul,MatMul,onnx::MatMul_1182,768x768,589824,2359296
184,/blocks/blocks.0/mlp/fc1/MatMul,MatMul,onnx::MatMul_1183,768x3072,2359296,9437184
194,/blocks/blocks.0/mlp/fc2/MatMul,MatMul,onnx::MatMul_1184,3072x768,2359296,9437184
207,/blocks/blocks.1/attn/qkv/MatMul,MatMul,onnx::MatMul_1185,768x2304,1769472,7077888
253,/blocks/blocks.1/attn/proj/MatMul,MatMul,onnx::MatMul_1189,768x768,589824,2359296
257,/blocks/blocks.1/mlp/fc1/MatMul,MatMul,onnx::MatMul_1190,768x3072,2359296,9437184
267,/blocks/blocks.1/mlp/fc2/MatMul,MatMul,onnx::MatMul_1191,3072x768,2359296,9437184
280,/blocks/blocks.2/attn/qkv/MatMul,MatMul,onnx::MatMul_1192,768x2304,1769472,7077888
326,/blocks/blocks.2/attn/proj/MatMul,MatMul,onnx::MatMul_1196,768x768,589824,2359296
330,/blocks/blocks.2/mlp/fc1/MatMul,MatMul,onnx::MatMul_1197,768x3072,2359296,9437184
340,/blocks/blocks.2/mlp/fc2/MatMul,MatMul,onnx::MatMul_1198,3072x768,2359296,9437184
353,/blocks/blocks.3/attn/qkv/MatMul,MatMul,onnx::MatMul_1199,768x2304,1769472,7077888
399,/blocks/blocks.3/attn/proj/MatMul,MatMul,onnx::MatMul_1203,768x768,589824,2359296
403,/blocks/blocks.3/mlp/fc1/MatMul,MatMul,onnx::MatMul_1204,768x3072,2359296,9437184
413,/blocks/blocks.3/mlp/fc2/MatMul,MatMul,onnx::MatMul_1205,3072x768,2359296,9437184
426,/blocks/blocks.4/attn/qkv/MatMul,MatMul,onnx::MatMul_1206,768x2304,1769472,7077888
472,/blocks/blocks.4/attn/proj/MatMul,MatMul,onnx::MatMul_1210,768x768,589824,2359296
476,/blocks/blocks.4/mlp/fc1/MatMul,MatMul,onnx::MatMul_1211,768x3072,2359296,9437184
486,/blocks/blocks.4/mlp/fc2/MatMul,MatMul,onnx::MatMul_1212,3072x768,2359296,9437184
499,/blocks/blocks.5/attn/qkv/MatMul,MatMul,onnx::MatMul_1213,768x2304,1769472,7077888
545,/blocks/blocks.5/attn/proj/MatMul,MatMul,onnx::MatMul_1217,768x768,589824,2359296
549,/blocks/blocks.5/mlp/fc1/MatMul,MatMul,onnx::MatMul_1218,768x3072,2359296,9437184
559,/blocks/blocks.5/mlp/fc2/MatMul,MatMul,onnx::MatMul_1219,3072x768,2359296,9437184
572,/blocks/blocks.6/attn/qkv/MatMul,MatMul,onnx::MatMul_1220,768x2304,1769472,7077888
618,/blocks/blocks.6/attn/proj/MatMul,MatMul,onnx::MatMul_1224,768x768,589824,2359296
622,/blocks/blocks.6/mlp/fc1/MatMul,MatMul,onnx::MatMul_1225,768x3072,2359296,9437184
632,/blocks/blocks.6/mlp/fc2/MatMul,MatMul,onnx::MatMul_1226,3072x768,2359296,9437184
645,/blocks/blocks.7/attn/qkv/MatMul,MatMul,onnx::MatMul_1227,768x2304,1769472,7077888
691,/blocks/blocks.7/attn/proj/MatMul,MatMul,onnx::MatMul_1231,768x768,589824,2359296
695,/blocks/blocks.7/mlp/fc1/MatMul,MatMul,onnx::MatMul_1232,768x3072,2359296,9437184
705,/blocks/blocks.7/mlp/fc2/MatMul,MatMul,onnx::MatMul_1233,3072x768,2359296,9437184
718,/blocks/blocks.8/attn/qkv/MatMul,MatMul,onnx::MatMul_1234,768x2304,1769472,7077888
764,/blocks/blocks.8/attn/proj/MatMul,MatMul,onnx::MatMul_1238,768x768,589824,2359296
768,/blocks/blocks.8/mlp/fc1/MatMul,MatMul,onnx::MatMul_1239,768x3072,2359296,9437184
778,/blocks/blocks.8/mlp/fc2/MatMul,MatMul,onnx::MatMul_1240,3072x768,2359296,9437184
791,/blocks/blocks.9/attn/qkv/MatMul,MatMul,onnx::MatMul_1241,768x2304,1769472,7077888
837,/blocks/blocks.9/attn/proj/MatMul,MatMul,onnx::MatMul_1245,768x768,589824,2359296
841,/blocks/blocks.9/mlp/fc1/MatMul,MatMul,onnx::MatMul_1246,768x3072,2359296,9437184
851,/blocks/blocks.9/mlp/fc2/MatMul,MatMul,onnx::MatMul_1247,3072x768,2359296,9437184
864,/blocks/blocks.10/attn/qkv/MatMul,MatMul,onnx::MatMul_1248,768x2304,1769472,7077888
910,/blocks/blocks.10/attn/proj/MatMul,MatMul,onnx::MatMul_1252,768x768,589824,2359296
914,/blocks/blocks.10/mlp/fc1/MatMul,MatMul,onnx::MatMul_1253,768x3072,2359296,9437184
924,/blocks/blocks.10/mlp/fc2/MatMul,MatMul,onnx::MatMul_1254,3072x768,2359296,9437184
937,/blocks/blocks.11/attn/qkv/MatMul,MatMul,onnx::MatMul_1255,768x2304,1769472,7077888
983,/blocks/blocks.11/attn/proj/MatMul,MatMul,onnx::MatMul_1259,768x768,589824,2359296
987,/blocks/blocks.11/mlp/fc1/MatMul,MatMul,onnx::MatMul_1260,768x3072,2359296,9437184
997,/blocks/blocks.11/mlp/fc2/MatMul,MatMul,onnx::MatMul_1261,3072x768,2359296,9437184
1002,/head/Gemm,Gemm,head.weight,1000x768,768000,3072000
