node_index,node_name,op_type,raw_onnx_input_shape,raw_onnx_output_shape,input_shape_batch1,output_shape_batch1,input_bytes_fp32_batch1,output_bytes_fp32_batch1,round_trip_bytes_fp32_batch1
134,/blocks/blocks.0/attn/qkv/MatMul,MatMul,unk__4x197x768,unk__4x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
180,/blocks/blocks.0/attn/proj/MatMul,MatMul,unk__15xunk__16xunk__17,unk__15xunk__16x768,1x197x768,1x197x768,605184,605184,1210368
184,/blocks/blocks.0/mlp/fc1/MatMul,MatMul,unk__18x197x768,unk__18x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
194,/blocks/blocks.0/mlp/fc2/MatMul,MatMul,unk__18x197x3072,unk__18x197x768,1x197x3072,1x197x768,2420736,605184,3025920
207,/blocks/blocks.1/attn/qkv/MatMul,MatMul,unk__18x197x768,unk__18x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
253,/blocks/blocks.1/attn/proj/MatMul,MatMul,unk__27xunk__28xunk__29,unk__27xunk__28x768,1x197x768,1x197x768,605184,605184,1210368
257,/blocks/blocks.1/mlp/fc1/MatMul,MatMul,unk__30x197x768,unk__30x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
267,/blocks/blocks.1/mlp/fc2/MatMul,MatMul,unk__30x197x3072,unk__30x197x768,1x197x3072,1x197x768,2420736,605184,3025920
280,/blocks/blocks.2/attn/qkv/MatMul,MatMul,unk__30x197x768,unk__30x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
326,/blocks/blocks.2/attn/proj/MatMul,MatMul,unk__39xunk__40xunk__41,unk__39xunk__40x768,1x197x768,1x197x768,605184,605184,1210368
330,/blocks/blocks.2/mlp/fc1/MatMul,MatMul,unk__42x197x768,unk__42x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
340,/blocks/blocks.2/mlp/fc2/MatMul,MatMul,unk__42x197x3072,unk__42x197x768,1x197x3072,1x197x768,2420736,605184,3025920
353,/blocks/blocks.3/attn/qkv/MatMul,MatMul,unk__42x197x768,unk__42x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
399,/blocks/blocks.3/attn/proj/MatMul,MatMul,unk__51xunk__52xunk__53,unk__51xunk__52x768,1x197x768,1x197x768,605184,605184,1210368
403,/blocks/blocks.3/mlp/fc1/MatMul,MatMul,unk__54x197x768,unk__54x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
413,/blocks/blocks.3/mlp/fc2/MatMul,MatMul,unk__54x197x3072,unk__54x197x768,1x197x3072,1x197x768,2420736,605184,3025920
426,/blocks/blocks.4/attn/qkv/MatMul,MatMul,unk__54x197x768,unk__54x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
472,/blocks/blocks.4/attn/proj/MatMul,MatMul,unk__63xunk__64xunk__65,unk__63xunk__64x768,1x197x768,1x197x768,605184,605184,1210368
476,/blocks/blocks.4/mlp/fc1/MatMul,MatMul,unk__66x197x768,unk__66x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
486,/blocks/blocks.4/mlp/fc2/MatMul,MatMul,unk__66x197x3072,unk__66x197x768,1x197x3072,1x197x768,2420736,605184,3025920
499,/blocks/blocks.5/attn/qkv/MatMul,MatMul,unk__66x197x768,unk__66x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
545,/blocks/blocks.5/attn/proj/MatMul,MatMul,unk__75xunk__76xunk__77,unk__75xunk__76x768,1x197x768,1x197x768,605184,605184,1210368
549,/blocks/blocks.5/mlp/fc1/MatMul,MatMul,unk__78x197x768,unk__78x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
559,/blocks/blocks.5/mlp/fc2/MatMul,MatMul,unk__78x197x3072,unk__78x197x768,1x197x3072,1x197x768,2420736,605184,3025920
572,/blocks/blocks.6/attn/qkv/MatMul,MatMul,unk__78x197x768,unk__78x197x2304,1x197x768,1x197x2304,605184,1815552,2420736
618,/blocks/blocks.6/attn/proj/MatMul,MatMul,unk__87xunk__88xunk__89,unk__87xunk__88x768,1x197x768,1x197x768,605184,605184,1210368
622,/blocks/blocks.6/mlp/fc1/MatMul,MatMul,unk__90x197x768,unk__90x197x3072,1x197x768,1x197x3072,605184,2420736,3025920
632,/blocks/blocks.6/mlp/fc2/MatMul,MatMul,unk__90x197x3072,unk__90x197x768,1x197x3072,1x197x768,2420736,605184,3025920
