task_type,input_shape_batch1,output_shape_batch1,activation_precision,input_bytes,output_bytes,round_trip_bytes,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_speedup_over_gpu,communication_time_us,minimum_gpu_latency_for_offload_us
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,10,2,23.536000,47.072000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,10,4,23.536000,31.381333
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,10,8,23.536000,26.898286
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,20,2,43.536000,87.072000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,20,4,43.536000,58.048000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,20,8,43.536000,49.755429
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,50,2,103.536000,207.072000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,50,4,103.536000,138.048000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,2,50,8,103.536000,118.326857
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,10,2,21.768000,43.536000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,10,4,21.768000,29.024000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,10,8,21.768000,24.877714
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,20,2,41.768000,83.536000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,20,4,41.768000,55.690667
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,20,8,41.768000,47.734857
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,50,2,101.768000,203.536000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,50,4,101.768000,135.690667
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,4,50,8,101.768000,116.306286
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,10,2,20.884000,41.768000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,10,4,20.884000,27.845333
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,10,8,20.884000,23.867429
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,20,2,40.884000,81.768000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,20,4,40.884000,54.512000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,20,8,40.884000,46.724571
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,50,2,100.884000,201.768000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,50,4,100.884000,134.512000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,8,50,8,100.884000,115.296000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,16,10,2,20.442000,40.884000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,16,10,4,20.442000,27.256000
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,16,10,8,20.442000,23.362286
linear_classifier,1x768,1x1000,FP32,3072,4000,7072,16,20,2,40.442000,80.884000
