path_kind,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_linear_speedup_over_gpu,policy,analytical_makespan_us,speedup_vs_gpu_only,offloaded_linear_tasks,cross_device_edges,logical_cross_device_bytes,physical_link_bytes,valid_for_target_prediction
host_staged_two_copy,2,5,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,2,static_all_fpga,78966.54825600017,0.2809338430252884,49,97,116198400,232396800,False
host_staged_two_copy,2,5,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,4,static_all_fpga,74722.07444800012,0.29689186275788365,49,97,116198400,232396800,False
host_staged_two_copy,2,5,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,8,static_all_fpga,72599.83754400011,0.3055705993633233,49,97,116198400,232396800,False
host_staged_two_copy,2,5,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,5,16,static_all_fpga,71538.71909200009,0.31010306241953406,49,97,116198400,232396800,False
host_staged_two_copy,2,5,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,2,static_all_fpga,79451.54825600017,0.27921892472780924,49,97,116198400,232396800,False
host_staged_two_copy,2,10,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,4,static_all_fpga,75207.07444800012,0.2949772482818594,49,97,116198400,232396800,False
host_staged_two_copy,2,10,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,8,static_all_fpga,73084.83754400011,0.3035427951610907,49,97,116198400,232396800,False
host_staged_two_copy,2,10,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,16,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,10,16,static_all_fpga,72023.71909200009,0.3080148616549865,49,97,116198400,232396800,False
host_staged_two_copy,2,10,16,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,20,2,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,20,2,static_all_fpga,80421.54825600017,0.27585114130583605,49,97,116198400,232396800,False
host_staged_two_copy,2,20,2,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,20,4,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,20,4,static_all_fpga,76177.07444800013,0.29122115850147906,49,97,116198400,232396800,False
host_staged_two_copy,2,20,4,communication_eft,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,20,8,gpu_only,22184.375872000015,1.0,0,0,0,0,False
host_staged_two_copy,2,20,8,static_all_fpga,74054.83754400011,0.29956686973783503,49,97,116198400,232396800,False
host_staged_two_copy,2,20,8,communication_eft,22184.375872000015,1.0,0,0,0,0,False
