scenario,path_kind,policy,request_count,simgrid_makespan_us,mean_completion_us,throughput_requests_per_s,offloaded_linear_tasks,cross_device_edges_per_request,total_physical_link_bytes,task_records,transfer_records,valid_for_target_prediction,throughput_speedup_vs_gpu_only
staged_reference,host_staged_two_copy,gpu_only,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
staged_reference,host_staged_two_copy,static_all_fpga,1,48870.45044799986,48870.45044799986,20.46226279547066,49,97,232396800,125,194,False,0.4539425290463623
staged_reference,host_staged_two_copy,communication_eft,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
staged_reference,host_staged_two_copy,gpu_only,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
staged_reference,host_staged_two_copy,static_all_fpga,2,69478.47454400004,69415.75188000004,28.78589394954864,49,97,464793600,250,388,False,0.6385970911883164
staged_reference,host_staged_two_copy,communication_eft,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
staged_reference,host_staged_two_copy,gpu_only,4,88737.50348800034,88728.85148800033,45.076769604419916,0,0,0,500,0,False,1.0
staged_reference,host_staged_two_copy,static_all_fpga,4,123176.51192027099,122521.57738894521,32.473723582862114,49,97,929587200,500,776,False,0.7204092899256465
staged_reference,host_staged_two_copy,communication_eft,4,88737.50348800034,88728.85148800033,45.076769604419916,0,0,0,500,0,False,1.0
staged_reference,host_staged_two_copy,gpu_only,8,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,1000,0,False,1.0
staged_reference,host_staged_two_copy,static_all_fpga,8,245629.92485529653,244921.02282574683,32.5693215299923,49,97,1859174400,1000,1552,False,0.7225300707173791
staged_reference,host_staged_two_copy,communication_eft,8,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,1000,0,False,1.0
staged_favorable,host_staged_two_copy,gpu_only,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
staged_favorable,host_staged_two_copy,static_all_fpga,1,22416.653543999986,22416.653543999986,44.60969154192325,49,97,232396800,125,194,False,0.9896381647000039
staged_favorable,host_staged_two_copy,communication_eft,1,21624.191967999992,21624.191967999992,46.24450252198207,36,72,203341824,125,144,False,1.0259054259613014
staged_favorable,host_staged_two_copy,gpu_only,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
staged_favorable,host_staged_two_copy,static_all_fpga,2,25952.57901600002,25890.46839200002,77.0636320485521,49,97,464793600,250,388,False,1.7096085794265816
staged_favorable,host_staged_two_copy,communication_eft,2,29269.392000000014,29216.583680000018,68.33076682973117,36,72,406683648,250,288,False,1.5158754149727431
staged_favorable,host_staged_two_copy,gpu_only,4,88737.50348800034,88728.85148800033,45.076769604419916,0,0,0,500,0,False,1.0
staged_favorable,host_staged_two_copy,static_all_fpga,4,39356.220754355905,39013.17987635591,101.6357750650457,49,97,929587200,500,776,False,2.2547262360850278
staged_favorable,host_staged_two_copy,communication_eft,4,38430.971437667424,37915.462993000765,104.08271897284054,36,72,813367296,500,576,False,2.309010159473249
staged_favorable,host_staged_two_copy,gpu_only,8,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,1000,0,False,1.0
staged_favorable,host_staged_two_copy,static_all_fpga,8,65709.93188291739,64575.86996014036,121.74719666814569,49,97,1859174400,1000,1552,False,2.7008855722484792
staged_favorable,host_staged_two_copy,communication_eft,8,61577.37311899983,60574.84263136722,129.91785122986326,36,72,1626734592,1000,1152,False,2.8821464441658953
shared_mapped_midpoint,shared_mapped_one_copy,gpu_only,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,static_all_fpga,1,26063.99444799996,26063.99444799996,38.36710455088114,49,97,116198400,125,97,False,0.8511502684770683
shared_mapped_midpoint,shared_mapped_one_copy,communication_eft,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,gpu_only,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,static_all_fpga,2,34148.392688000014,34085.67002400002,58.567910304686585,49,97,232396800,250,194,False,1.2992925362367467
shared_mapped_midpoint,shared_mapped_one_copy,communication_eft,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,gpu_only,4,88737.50348800034,88728.85148800033,45.076769604419916,0,0,0,500,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,static_all_fpga,4,61892.394499445814,61785.790589375654,64.62829613153545,49,97,464793600,500,388,False,1.4337384133489115
shared_mapped_midpoint,shared_mapped_one_copy,communication_eft,4,88737.50348800034,88728.85148800033,45.076769604419916,0,0,0,500,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,gpu_only,8,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,1000,0,False,1.0
shared_mapped_midpoint,shared_mapped_one_copy,static_all_fpga,8,123650.19358172124,123389.46212475625,64.69864517205747,49,97,929587200,1000,776,False,1.4352990629060964
shared_mapped_midpoint,shared_mapped_one_copy,communication_eft,8,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,1000,0,False,1.0
direct_dma_midpoint,direct_dma_one_copy,gpu_only,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
direct_dma_midpoint,direct_dma_one_copy,static_all_fpga,1,26063.99444799996,26063.99444799996,38.36710455088114,49,97,116198400,125,97,False,0.8511502684770683
direct_dma_midpoint,direct_dma_one_copy,communication_eft,1,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,125,0,False,1.0
direct_dma_midpoint,direct_dma_one_copy,gpu_only,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
direct_dma_midpoint,direct_dma_one_copy,static_all_fpga,2,34148.392688000014,34085.67002400002,58.567910304686585,49,97,232396800,250,194,False,1.2992925362367467
direct_dma_midpoint,direct_dma_one_copy,communication_eft,2,44368.751743999914,44365.867743999916,45.07676960442018,0,0,0,250,0,False,1.0
direct_dma_midpoint,direct_dma_one_copy,gpu_only,4,88737.50348800034,88728.85148800033,45.076769604419916,0,0,0,500,0,False,1.0
direct_dma_midpoint,direct_dma_one_copy,static_all_fpga,4,61892.394499445814,61785.790589375654,64.62829613153545,49,97,464793600,500,388,False,1.4337384133489115
