request_id,task_id,task_type,device,start_us,finish_us,duration_us
0,patch_embedding,patch_embedding,GPU,0.0,120.60550400000001,120.60550400000001
1,patch_embedding,patch_embedding,GPU,120.60550400000001,241.21100800000002,120.60550400000001
2,patch_embedding,patch_embedding,GPU,241.21100800000002,361.816512,120.605504
3,patch_embedding,patch_embedding,GPU,361.816512,482.42201600000004,120.60550400000002
0,token_embedding,token_and_position_embedding,GPU,482.42201600000004,523.733056,41.31104000000004
1,token_embedding,token_and_position_embedding,GPU,523.733056,565.0440960000001,41.311039999999984
2,token_embedding,token_and_position_embedding,GPU,565.0440960000001,606.355136,41.311039999999984
3,token_embedding,token_and_position_embedding,GPU,606.355136,647.6661760000001,41.311039999999984
0,block_00_norm1,layer_norm,GPU,647.6661760000001,701.080896,53.41472000000005
1,block_00_norm1,layer_norm,GPU,701.080896,754.4956160000002,53.41472000000005
2,block_00_norm1,layer_norm,GPU,754.4956160000002,807.9103360000001,53.41472000000005
3,block_00_norm1,layer_norm,GPU,807.9103360000001,861.3250560000002,53.41472000000005
0,block_00_qkv,linear_qkv,FPGA,816.526976,912.9234720000001,96.39649599999997
1,block_00_qkv,linear_qkv,FPGA,955.4215839999997,1051.8180799999998,96.39649600000008
2,block_00_qkv,linear_qkv,FPGA,1051.8180799999998,1148.2145759999999,96.39649600000008
3,block_00_qkv,linear_qkv,FPGA,1148.2145759999999,1244.611072,96.39649600000008
0,block_00_attention,self_attention,GPU,1725.1765386666673,1849.3977866666671,124.22124799999997
1,block_00_attention,self_attention,GPU,1870.9291466666668,1995.1503946666667,124.22124799999997
2,block_00_attention,self_attention,GPU,1995.1503946666667,2119.371642666667,124.22124800000019
0,block_00_proj,linear_projection,FPGA,2091.281838,2129.5806700000003,38.298832000000125
3,block_00_attention,self_attention,GPU,2119.371642666667,2243.5928906666672,124.22124800000019
1,block_00_proj,linear_projection,FPGA,2158.6364889999995,2196.935321,38.298832000000125
2,block_00_proj,linear_projection,FPGA,2366.6809204444444,2404.979752444445,38.298832000000125
0,block_00_residual1,residual_add,GPU,2381.9944614444444,2423.3055014444444,41.31103999999988
0,block_00_norm2,layer_norm,GPU,2423.3055014444444,2476.720221444444,53.41472000000005
1,block_00_residual1,residual_add,GPU,2476.720221444444,2518.031261444444,41.31103999999988
3,block_00_proj,linear_projection,FPGA,2488.806283361111,2527.105115361111,38.298832000000125
1,block_00_norm2,layer_norm,GPU,2518.031261444444,2571.4459814444444,53.41472000000005
2,block_00_residual1,residual_add,GPU,2625.203829111111,2666.5148691111112,41.31103999999988
2,block_00_norm2,layer_norm,GPU,2666.5148691111112,2719.9295891111115,53.41472000000005
0,block_00_fc1,linear_ffn1,FPGA,2711.801467361111,2837.2467953611113,125.44532800000006
