request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1348.7470720000008,1385.5192320000008,36.77216000000003
0,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1385.5192320000008,1430.2344320000007,44.715199999999925
1,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1402.1617920000008,1438.9339520000008,36.77216000000003
1,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1438.9339520000008,1483.6491520000009,44.715199999999925
2,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1455.5765120000008,1492.348672000001,36.77216000000003
0,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,1482.4326800000006,2057.2828132502636,574.8501332502631
2,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1492.348672000001,1610.7122386666676,118.36356666666673
3,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1508.991232000001,1545.763392000001,36.77216000000003
1,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,1535.8474000000008,2270.1207891311287,734.2733891311278
3,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1545.763392000001,1739.6247502444453,193.86135824444435
4,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1562.405952000001,1599.178112000001,36.77216000000003
4,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1599.178112000001,1833.5596744814825,234.3815624814814
5,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1615.820672000001,1652.592832000001,36.77216000000003
5,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1652.592832000001,1929.6042855291016,277.01145352910055
2,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,1662.9104866666676,2478.1600506446066,815.2495639779391
6,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1669.235392000001,1706.0075520000012,36.77216000000003
6,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1706.0075520000012,1995.4041084878318,289.3965564878306
7,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1722.6501120000012,1759.4222720000012,36.77216000000003
7,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1759.4222720000012,2053.0016619650805,293.5793899650793
3,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,1791.8229982444452,2598.355715866829,806.5327176223839
4,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,1885.7579224814824,2668.9815533060328,783.2236308245506
5,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,1981.8025335291015,2734.1164216393663,752.3138881102647
6,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2047.602356487832,2771.1019222615887,723.4995657737567
0,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,2057.2828132502636,2157.5992932502636,100.31647999999986
7,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2105.1999099650807,2795.066411565948,689.8665016008671
