request_id,task_id,task_type,device,start_us,finish_us,duration_us
0,patch_embedding,patch_embedding,GPU,0.0,120.60550400000001,120.60550400000001
1,patch_embedding,patch_embedding,GPU,120.60550400000001,241.21100800000002,120.60550400000001
2,patch_embedding,patch_embedding,GPU,241.21100800000002,361.816512,120.605504
3,patch_embedding,patch_embedding,GPU,361.816512,482.42201600000004,120.60550400000002
0,token_embedding,token_and_position_embedding,GPU,482.42201600000004,523.733056,41.31104000000004
1,token_embedding,token_and_position_embedding,GPU,523.733056,565.0440960000001,41.311039999999984
2,token_embedding,token_and_position_embedding,GPU,565.0440960000001,606.355136,41.311039999999984
3,token_embedding,token_and_position_embedding,GPU,606.355136,647.6661760000001,41.311039999999984
0,block_00_norm1,layer_norm,GPU,647.6661760000001,701.080896,53.41472000000005
1,block_00_norm1,layer_norm,GPU,701.080896,754.4956160000002,53.41472000000005
2,block_00_norm1,layer_norm,GPU,754.4956160000002,807.9103360000001,53.41472000000005
3,block_00_norm1,layer_norm,GPU,807.9103360000001,861.3250560000002,53.41472000000005
0,block_00_qkv,linear_qkv,FPGA,1161.8324693333332,1258.2289653333335,96.39649600000008
1,block_00_qkv,linear_qkv,FPGA,1336.6925173333334,1433.0890133333337,96.39649600000008
2,block_00_qkv,linear_qkv,FPGA,1433.0890133333337,1529.4855093333338,96.39649600000008
3,block_00_qkv,linear_qkv,FPGA,1529.4855093333338,1625.8820053333338,96.39649600000008
0,block_00_attention,self_attention,GPU,3092.035402666667,3216.256650666667,124.22124800000019
1,block_00_attention,self_attention,GPU,3339.2735800000005,3463.494828000001,124.22124800000019
0,block_00_proj,linear_projection,FPGA,3469.8154106666666,3508.114242666667,38.298832000000125
2,block_00_attention,self_attention,GPU,3486.9968840000006,3611.2181320000004,124.22124800000019
3,block_00_attention,self_attention,GPU,3611.2181320000004,3735.4393800000007,124.22124800000019
0,block_00_residual1,residual_add,GPU,3984.0930466666664,4025.404086666667,41.31104000000031
1,block_00_proj,linear_projection,FPGA,3999.7510226666664,4038.0498546666668,38.298832000000125
0,block_00_norm2,layer_norm,GPU,4025.404086666667,4078.818806666666,53.41471999999962
2,block_00_proj,linear_projection,FPGA,4160.403828000001,4198.702660000001,38.298832000000125
3,block_00_proj,linear_projection,FPGA,4306.599214666668,4344.898046666668,38.298832000000125
1,block_00_residual1,residual_add,GPU,4665.552289333333,4706.863329333332,41.31104000000031
0,block_00_fc1,linear_ffn1,FPGA,4706.321241333332,4831.766569333332,125.44532799999963
1,block_00_norm2,layer_norm,GPU,4706.863329333332,4760.278049333332,53.41471999999962
2,block_00_residual1,residual_add,GPU,4833.179764666669,4874.49080466667,41.31104000000031
