request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1348.7470720000008,1385.5192320000008,36.77216000000003
0,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1385.5192320000008,1942.3347657142858,556.815533714285
1,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1402.1617920000008,1438.9339520000008,36.77216000000003
1,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1438.9339520000008,2353.024454857143,914.0905028571424
2,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1455.5765120000008,1492.348672000001,36.77216000000003
2,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1492.348672000001,2550.055264000001,1057.706592
3,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1508.991232000001,1545.763392000001,36.77216000000003
3,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1545.763392000001,2675.8664464761914,1130.1030544761904
4,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1562.405952000001,1599.178112000001,36.77216000000003
4,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1599.178112000001,2769.342206476191,1170.1640944761903
5,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1615.820672000001,1652.592832000001,36.77216000000003
5,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1652.592832000001,2840.3026918095247,1187.7098598095238
6,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1669.235392000001,1706.0075520000012,36.77216000000003
6,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1706.0075520000012,2894.5604073650807,1188.5528553650795
7,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,605184,1722.6501120000012,1759.4222720000012,36.77216000000003
7,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,1759.4222720000012,2940.3444530793663,1180.9221810793651
0,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2038.731261714286,5705.324331479366,3666.59306976508
1,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2449.4209508571435,6092.454964622224,3643.0340137650805
2,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2646.451760000001,6279.406484622224,3632.954724622223
3,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2772.2629424761913,6389.510315479367,3617.247373003175
4,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2868.6594384761916,6475.838650717462,3607.1792122412703
5,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,2965.0559344761914,6562.918481320637,3597.8625468444457
6,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,3061.4524304761917,6627.1828119873035,3565.730381511112
7,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,1815552,3157.8489264761915,6668.495595987304,3510.646669511112
0,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,5705.324331479366,5805.640811479366,100.31647999999942
0,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,5929.862059479366,5966.634219479364,36.77215999999938
0,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,5966.634219479364,6781.36771210159,814.733492622225
1,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6092.454964622224,6192.7714446222235,100.31647999999942
2,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6279.406484622224,6428.479933765081,149.07344914285702
1,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,6316.992692622223,6385.537012622223,68.54431999999983
1,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,6385.537012622223,6975.143421204236,589.6064085820132
3,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6389.510315479367,6532.784558526986,143.27424304761902
4,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6475.838650717462,6700.7550729396835,224.91642222222194
2,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,6552.701181765081,6653.151078653968,100.44989688888766
5,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6562.918481320637,6919.015073108996,356.096591788359
6,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6627.1828119873035,6971.370432177779,344.1876201904755
2,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,6653.151078653968,7313.172869331216,660.0217906772478
7,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,1815552,6668.495595987304,6983.394004622224,314.89840863492026
3,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,6676.922429765081,6812.777598400001,135.85516863492097
3,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,6812.777598400001,7792.342059570372,979.5644611703706
0,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,6819.666544101589,7808.416266207411,988.7497221058219
4,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,6824.976320939683,6947.552488982011,122.57616804232755
4,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,6947.552488982011,8029.249644470548,1081.6971554885374
1,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,7013.442253204236,8149.664395454681,1136.2221422504442
5,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,7043.236321108996,7080.0084811089955,36.77215999999938
5,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,7080.0084811089955,8242.857114521341,1162.848633412346
6,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,7167.457569108996,7204.229729108995,36.77215999999938
6,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,7204.229729108995,8383.798425626104,1179.5686965171085
7,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,605184,7291.678817108996,7328.450977108994,36.77215999999938
7,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,605184,7328.450977108994,8524.156801202822,1195.705824093828
2,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,7351.4717013312165,8547.177525425044,1195.7058240938288
0,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,7808.416266207411,7845.188426207413,36.772160000001115
3,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,7830.640891570371,9009.102540728041,1178.4616491576708
0,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,7939.914186207413,7976.686346207413,36.77216000000025
0,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,7976.686346207413,9155.147995365085,1178.4616491576708
4,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,8067.548476470548,9234.902275784834,1167.353799314286
1,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,8149.664395454681,8186.43655545468,36.77216000000025
5,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,8281.155946521341,9441.847629210817,1160.6916826894762
1,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,8281.162315454681,8317.934475454682,36.77216000000025
1,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,8317.934475454682,9478.626158144156,1160.6916826894746
6,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,8422.097257626103,9562.994548201294,1140.8972905751907
2,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,8547.177525425044,8583.949685425045,36.77216000000025
7,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,605184,8562.455633202822,9669.966493273883,1107.510860071062
2,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,8678.675445425046,8715.447605425046,36.77216000000025
2,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,8715.447605425046,9805.838583176463,1090.3909777514164
3,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,9009.102540728041,9045.874700728042,36.77216000000025
3,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,9140.600460728043,9177.372620728043,36.77216000000025
3,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,9177.372620728043,10270.196022355201,1092.8234016271583
4,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,9234.902275784834,9271.674435784835,36.77216000000025
0,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,9280.593323365085,14104.02604583792,4823.432722472836
4,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,9366.400195784834,9403.172355784835,36.77216000000025
4,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,9403.172355784835,10519.987538911584,1116.8151831267483
5,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,9441.847629210817,9478.619789210818,36.77216000000025
6,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,9562.994548201294,9621.187867191768,58.193318990474445
5,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,9573.345549210819,9631.538868201293,58.193318990474445
1,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,9604.071486144157,14463.661972958746,4859.590486814589
5,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,9631.538868201293,10806.754976360422,1175.216108159129
7,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,605184,9669.966493273883,9706.738653273884,36.77216000000025
6,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,9715.913627191769,9752.68578719177,36.77216000000025
6,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,9752.68578719177,10945.021777670545,1192.3359904787762
7,9,block_00_norm2,block_00_fc1,1,gpu_host,GPU_to_HOST,605184,9810.63938719177,9847.41154719177,36.77216000000025
7,9,block_00_norm2,block_00_fc1,2,host_fpga_pcie,HOST_to_FPGA,605184,9847.41154719177,11048.813277224785,1201.4017300330145
2,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,9931.283911176462,14818.210740363049,4886.926829186586
3,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,10395.641350355201,15239.33959019781,4843.698239842606
4,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,10645.432866911584,15476.08783318464,4830.654966273057
5,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,10932.200304360422,15707.772343084109,4775.572038723686
6,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,11070.467105670547,15822.187557889836,4751.720452219291
7,10,block_00_fc1,block_00_gelu,1,host_fpga_pcie,FPGA_to_HOST,2420736,11195.912433670546,15911.791363604125,4715.878929933578
0,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,14104.02604583792,14236.11468583792,132.08863999999986
0,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,14337.94412583792,14471.403558717095,133.4594328791742
1,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,14463.661972958746,14597.12140583792,133.4594328791742
0,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,14471.403558717095,18734.77321296306,4263.369654245966
1,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,14698.950845837919,14838.86823131279,139.9173854748706
2,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,14818.210740363049,14958.128125837919,139.9173854748706
1,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,14838.86823131279,19141.699218777136,4302.830987464347
2,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,15059.957565837918,15192.046205837918,132.08863999999986
2,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,15192.046205837918,19524.553285663,4332.507079825082
3,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,15239.33959019781,15371.428230197807,132.08863999999986
3,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,15473.257670197807,15738.021009274406,264.76333907659784
4,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,15476.08783318464,15743.681335248071,267.5935020634308
5,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,15707.772343084109,15912.534046134626,204.76170305051832
3,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,15738.021009274406,20180.77378242637,4442.752773151968
6,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,15822.187557889836,16253.096451923087,430.9088940332509
4,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,15845.51077524807,16288.081277960438,442.570502712368
7,10,block_00_fc1,block_00_gelu,2,gpu_host,HOST_to_GPU,2420736,15911.791363604125,16333.68744268764,421.89607908351553
5,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,16014.363486134625,16375.830408472524,361.46692233789827
4,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,16288.081277960438,21105.411375285927,4817.330097325486
6,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,16354.925891923087,16528.178248472526,173.25235654943802
5,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,16375.830408472524,21228.260158002846,4852.429749530322
7,11,block_00_gelu,block_00_fc2,1,gpu_host,GPU_to_HOST,2420736,16456.755331923086,16622.055430197805,165.30009827471838
6,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,16528.178248472526,21405.937668432296,4877.759419959771
7,11,block_00_gelu,block_00_fc2,2,host_fpga_pcie,HOST_to_FPGA,2420736,16622.055430197805,21492.529075416824,4870.473645219017
0,12,block_00_fc2,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,605184,18860.218540963062,20109.549132963057,1249.3305919999975
1,12,block_00_fc2,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,605184,19267.144546777137,20484.005821132534,1216.8612743553956
2,12,block_00_fc2,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,605184,19649.998613663,20860.74206630411,1210.743452641109
0,12,block_00_fc2,block_00_residual2,2,gpu_host,HOST_to_GPU,605184,20109.549132963057,20146.321292963057,36.77216000000025
0,15,block_01_norm1,block_01_qkv,1,gpu_host,GPU_to_HOST,605184,20241.047052963055,20277.819212963055,36.77216000000025
0,15,block_01_norm1,block_01_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,20277.819212963055,21460.114689833285,1182.2954768702273
3,12,block_00_fc2,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,605184,20306.219110426373,21484.457459087556,1178.2383486611814
1,12,block_00_fc2,block_00_residual2,2,gpu_host,HOST_to_GPU,605184,20484.005821132534,20520.777981132534,36.77216000000025
1,15,block_01_norm1,block_01_qkv,1,gpu_host,GPU_to_HOST,605184,20615.503741132532,20652.275901132532,36.77216000000025
1,15,block_01_norm1,block_01_qkv,2,host_fpga_pcie,HOST_to_FPGA,605184,20652.275901132532,21720.705217486255,1068.4293163537236
