case,fusion,path_kind,compression,compression_ratio,fpga_input_buffers,policy,request_count,tasks_per_request,simgrid_makespan_us,mean_completion_us,throughput_requests_per_s,offloaded_linear_tasks,cross_device_edges,uncompressed_cross_device_bytes,logical_cross_device_bytes,physical_link_bytes_per_request,endpoint_codec_us_per_request,task_records,transfer_records,valid_for_target_prediction,latency_speedup_vs_gpu_only,throughput_speedup_vs_gpu_only
baseline_linear_only,False,host_staged_two_copy,none,1.0,1,gpu_only,1,125,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,125,0,False,1.0,1.0
baseline_linear_only,False,host_staged_two_copy,none,1.0,1,static_all_fpga,1,125,48870.45044799986,48870.45044799986,20.46226279547066,49,97,116198400,116198400,232396800,0.0,125,194,False,0.45394252904636223,0.4539425290463623
baseline_linear_only,False,host_staged_two_copy,none,1.0,1,communication_eft,1,125,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,125,0,False,1.0,1.0
baseline_linear_only,False,host_staged_two_copy,none,1.0,1,gpu_only,8,125,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,0,0,0,1000,0,False,1.0,1.0
baseline_linear_only,False,host_staged_two_copy,none,1.0,1,static_all_fpga,8,125,266306.33486399817,266122.2308739983,30.04059217774739,49,97,116198400,116198400,232396800,0.0,1000,1552,False,0.6664317882886184,0.6664317882886183
baseline_linear_only,False,host_staged_two_copy,none,1.0,1,communication_eft,8,125,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,0,0,0,1000,0,False,1.0,1.0
compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,1,125,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,125,0,False,1.0,1.0
compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,1,125,35605.13844799985,35605.13844799985,28.08583377538238,49,97,116198400,58099200,116198400,5035.936000000001,125,194,False,0.623066693151595,0.6230666931515951
compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,1,125,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,125,0,False,1.0,1.0
compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,8,125,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,0,0,0,1000,0,False,1.0,1.0
compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,8,125,158169.56217600018,158032.71021600012,50.578631501161716,49,97,116198400,58099200,116198400,5035.936000000001,1000,1552,False,1.1220553723131634,1.1220553723131632
compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,8,125,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,0,0,0,1000,0,False,1.0,1.0
compression_4x,False,host_staged_two_copy,lightweight_4x,0.25,1,gpu_only,1,125,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,125,0,False,1.0,1.0
compression_4x,False,host_staged_two_copy,lightweight_4x,0.25,1,static_all_fpga,1,125,26454.514447999816,26454.514447999816,37.80073159027904,49,97,116198400,29049600,58099200,5035.936000000001,125,194,False,0.8385856378353339,0.838585637835334
compression_4x,False,host_staged_two_copy,lightweight_4x,0.25,1,communication_eft,1,125,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,125,0,False,1.0,1.0
compression_4x,False,host_staged_two_copy,lightweight_4x,0.25,1,gpu_only,8,125,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,0,0,0,1000,0,False,1.0,1.0
compression_4x,False,host_staged_two_copy,lightweight_4x,0.25,1,static_all_fpga,8,125,108400.79059200213,108264.93151200203,73.8001997615527,49,97,116198400,29049600,58099200,5035.936000000001,1000,1552,False,1.6372113709389877,1.6372113709389877
compression_4x,False,host_staged_two_copy,lightweight_4x,0.25,1,communication_eft,8,125,177475.00697600193,177454.818976002,45.0767696044196,0,0,0,0,0,0,1000,0,False,1.0,1.0
ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,gpu_only,1,101,22184.375871999982,22184.375871999982,45.07676960442012,0,0,0,0,0,0,101,0,False,1.0,1.0
ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,static_all_fpga,1,101,29783.686287999953,29783.686287999953,33.57542751190294,49,73,58100736,58100736,116201472,0.0,101,146,False,0.744849903987144,0.744849903987144
ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,communication_eft,1,101,18909.503295999984,18909.503295999984,52.883462053259464,24,24,14524416,14524416,29048832,0.0,101,48,False,1.173186599602156,1.173186599602156
