request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1362.8507520000007,1488.296832000001,125.4460800000001
1,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1416.2654720000007,1541.711552000001,125.4460800000001
2,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1612.9006880000009,1797.741952000001,184.84126400000008
0,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,1637.108048000001,2642.6266776,1005.5186295999995
3,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1709.297184000001,1996.7971813333345,287.4999973333334
1,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,1733.504544000001,2907.1400744000002,1173.6355303999994
4,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1922.3458080000012,2323.6323253333344,401.28651733333334
2,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,1946.553168000001,3283.9534690666674,1337.4003010666665
5,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,2121.4010373333344,2599.5174696000013,478.11643226666666
3,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,2145.6083973333343,3574.758443093334,1429.1500457599996
6,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,2448.2361813333346,2959.646125600001,511.40994426666657
4,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,2472.4435413333345,3940.7771474133347,1468.33360608
7,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,2724.1213256000015,3225.472454666668,501.3511290666668
5,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,2748.3286856000013,4247.852150058668,1499.5234644586665
0,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,3084.2499816000013,3603.2492254933345,518.9992438933331
6,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,3108.457341600001,4542.133145525335,1433.675803925334
1,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,3350.076310666668,3882.7036101333347,532.6272994666666
7,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,3374.283670666668,4744.201804352002,1369.9181336853335
0,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,3669.7554174933343,4224.7162327253345,554.9608152320002
2,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,3669.7554174933343,4224.7162327253345,554.9608152320002
1,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,3949.209802133334,4445.980799989335,496.77099785600063
3,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,3949.209802133334,4445.980799989335,496.77099785600063
2,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,4291.222424725333,4710.815298192001,419.59287346666696
4,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,4291.222424725333,4710.815298192001,419.59287346666696
0,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,4512.4869919893345,4822.911885808003,310.4248938186685
3,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,4512.4869919893345,4822.911885808003,310.4248938186685
4,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,4777.321490192,4968.977488000001,191.65599780800093
5,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,4777.321490192,4968.977488000001,191.65599780800093
0,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,5188.339341808001,5487.762109808002,299.42276800000013
1,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,5188.339341808001,5487.762109808002,299.42276800000013
5,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,5226.638173808002,5526.060941808001,299.42276800000013
6,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,5226.638173808002,5526.060941808001,299.42276800000013
1,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,5853.189565808,6152.612333808001,299.42276800000013
2,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,5853.189565808,6152.612333808001,299.42276800000013
6,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,5891.488397808001,6190.911165808,299.42276800000013
7,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,5891.488397808001,6190.911165808,299.42276800000013
2,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,6518.039789807999,6817.4625578079995,299.42276800000013
3,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,6518.039789807999,6817.4625578079995,299.42276800000013
4,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,6556.3386218079995,6855.761389807999,299.42276800000013
7,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,6556.3386218079995,6855.761389807999,299.42276800000013
0,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,7182.890013807998,7361.7508138079975,178.8607999999997
3,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,7182.890013807998,7361.7508138079975,178.8607999999997
4,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,7520.110109807998,7753.3660938079975,233.25598399999947
5,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,7520.110109807998,7753.3660938079975,233.25598399999947
1,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,7616.506605807997,7849.762589807997,233.25598399999947
0,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,7640.713965807998,8016.692509807996,375.9785439999986
5,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,8118.793549807997,8352.049533807996,233.25598399999947
6,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,8118.793549807997,8352.049533807996,233.25598399999947
2,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,8215.190045807996,8448.446029807996,233.25598399999947
1,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,8239.397405807997,8615.375949807996,375.9785439999986
6,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,8717.476989807998,8950.732973807997,233.25598399999947
7,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,8717.476989807998,8950.732973807997,233.25598399999947
3,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,8813.873485807997,9047.129469807996,233.25598399999947
2,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,8838.080845807997,9214.059389807997,375.9785439999986
4,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,9316.160429807998,9549.416413807998,233.25598399999947
7,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,9316.160429807998,9549.416413807998,233.25598399999947
0,15,block_01_attention,block_01_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,9412.556925808,9645.812909807999,233.25598399999947
3,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,9436.764285808,10157.652909807997,720.8886239999987
5,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,9674.020269808,10045.466915141333,371.44664533333287
4,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,9698.227629808,10614.767208474665,916.5395786666659
0,16,block_01_proj,block_01_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,9712.319101807998,10112.670264474666,400.35116266666677
1,15,block_01_attention,block_01_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,9712.319101807998,10112.670264474666,400.35116266666677
6,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,10170.070771141332,10541.517416474666,371.44664533333287
5,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,10194.278131141333,11038.991747141332,844.713615999998
1,16,block_01_proj,block_01_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,10208.369603141333,10608.720765807999,400.35116266666677
2,15,block_01_attention,block_01_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,10208.369603141333,10608.720765807999,400.35116266666677
7,13,block_01_norm1,block_01_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,10666.121272474667,11037.567917807999,371.44664533333287
6,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,10690.328632474668,11351.022861807996,660.69422933333
0,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,10704.420104474666,11088.326387141333,383.90628266666596
2,16,block_01_proj,block_01_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,10704.420104474666,11088.326387141333,383.90628266666596
3,15,block_01_attention,block_01_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,11162.171773808,11389.247149808,227.0753759999987
7,14,block_01_qkv,block_01_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,11186.379133808001,11697.958115141328,511.5789813333275
0,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,11499.391869808002,11852.400675141333,353.0088053333314
4,15,block_01_attention,block_01_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,11499.391869808002,11852.400675141333,353.0088053333314
1,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,11537.690701808,11877.933229807999,340.2425279999989
3,16,block_01_proj,block_01_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,11537.690701808,11877.933229807999,340.2425279999989
4,16,block_01_proj,block_01_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,11918.906867141333,12097.767667141332,178.8607999999997
5,15,block_01_attention,block_01_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,11918.906867141333,12097.767667141332,178.8607999999997
1,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,12256.126963141332,12555.549731141333,299.4227679999992
2,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,12256.126963141332,12555.549731141333,299.4227679999992
