request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,6912.677311999998,7012.107711999998,99.43040000000032
0,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,7377.535167999997,7556.395967999996,178.8607999999997
1,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,7377.535167999997,7556.395967999996,178.8607999999997
1,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,7921.8234239999965,8100.684223999996,178.8607999999997
2,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,7921.8234239999965,8100.684223999996,178.8607999999997
2,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,8466.111679999998,8644.972479999997,178.8607999999997
3,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,8466.111679999998,8644.972479999997,178.8607999999997
3,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,9010.399935999998,9189.260735999998,178.8607999999997
4,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,9010.399935999998,9189.260735999998,178.8607999999997
4,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,9554.688192,9733.548992,178.8607999999997
5,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,9554.688192,9733.548992,178.8607999999997
5,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,10098.976448000001,10277.837248,178.8607999999997
6,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,10098.976448000001,10277.837248,178.8607999999997
6,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,10643.264704000001,10822.125504000001,178.8607999999997
7,9,block_00_norm2,block_00_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,10643.264704000001,10822.125504000001,178.8607999999997
0,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,11187.552960000003,11366.413760000003,178.8607999999997
7,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,11187.552960000003,11366.413760000003,178.8607999999997
0,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,11731.841216000004,11910.702016000005,178.8607999999997
1,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,11731.841216000004,11910.702016000005,178.8607999999997
1,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,12276.129472000006,12454.990272000005,178.8607999999997
2,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,12276.129472000006,12454.990272000005,178.8607999999997
2,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,12820.417728000006,12999.278528000006,178.8607999999997
3,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,12820.417728000006,12999.278528000006,178.8607999999997
3,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,13364.705984000007,13543.566784000008,178.8607999999997
4,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,13364.705984000007,13543.566784000008,178.8607999999997
4,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,13908.994240000009,14008.424640000008,99.43039999999945
5,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,14165.937664000001,14265.368064,99.43039999999945
5,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,14630.795520000001,14730.22592,99.43039999999945
6,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,15173.338752000001,15272.769152,99.43039999999945
6,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,15638.196608,15737.627008000001,99.43039999999945
7,19,block_01_norm2,block_01_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,16926.19692799999,17025.62732799999,99.43039999999945
0,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,17391.054783999985,17569.915583999984,178.8607999999997
7,20,block_01_ffn_island,block_01_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,17391.054783999985,17569.915583999984,178.8607999999997
0,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,17935.34303999998,18114.20383999998,178.8607999999997
1,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,17935.34303999998,18114.20383999998,178.8607999999997
1,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,18479.631295999978,18579.06169599998,99.43039999999945
2,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,18964.442751999974,19063.873151999975,99.43039999999945
2,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,19429.30060799997,19608.16140799997,178.8607999999997
3,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,19429.30060799997,19608.16140799997,178.8607999999997
3,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,19973.588863999965,20152.449663999967,178.8607999999997
4,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,19973.588863999965,20152.449663999967,178.8607999999997
4,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,20517.87711999996,20696.737919999963,178.8607999999997
5,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,20517.87711999996,20696.737919999963,178.8607999999997
5,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,21062.165375999957,21161.59577599996,99.43039999999945
6,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,21427.55667199995,21526.987071999953,99.43039999999945
6,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,21892.414527999947,21991.844927999948,99.43039999999945
7,29,block_02_norm2,block_02_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,22266.399551999944,22365.829951999945,99.43039999999945
7,30,block_02_ffn_island,block_02_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,22731.25740799994,22830.68780799994,99.43039999999945
0,39,block_03_norm2,block_03_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,24022.283647999935,24121.714047999933,99.43039999999945
0,40,block_03_ffn_island,block_03_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,24487.14150399993,24666.00230399993,178.8607999999997
1,39,block_03_norm2,block_03_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,24487.14150399993,24666.00230399993,178.8607999999997
1,40,block_03_ffn_island,block_03_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,25031.429759999926,25173.462335999924,142.03257599999796
2,39,block_03_norm2,block_03_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,25068.257983999927,25210.290559999925,142.03257599999796
2,40,block_03_ffn_island,block_03_residual2,1,host_fpga_pcie,FPGA_to_SHARED,302592,25575.718015999922,25675.14841599992,99.43039999999945
3,39,block_03_norm2,block_03_ffn_island,1,host_fpga_pcie,SHARED_to_FPGA,302592,25844.60838399992,25944.03878399992,99.43039999999945
