request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1362.8507520000007,1462.281152000001,99.43040000000009
1,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1586.8850080000009,1741.5384480000012,154.65344000000024
0,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,1611.0923680000008,1989.4315360000007,378.33916799999986
2,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,1866.1423040000013,2071.363728000001,205.22142399999984
1,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,1890.3496640000012,2282.945776000001,392.59611199999983
3,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,2195.9675840000014,2389.0853280000015,193.1177440000001
2,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,2220.1749440000012,2600.667376000001,380.49243199999967
4,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,2513.689184000001,2706.806928000001,193.11774399999965
3,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,2537.896544000001,2918.388976000001,380.49243199999967
5,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,2831.410784000001,3024.528528000001,193.1177440000001
4,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,2855.618144000001,3236.1105760000005,380.49243199999967
6,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,3149.1323840000014,3342.250128000001,193.11774399999965
5,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,3173.3397440000012,3553.832176000001,380.49243199999967
7,3,block_00_norm1,block_00_qkv,1,host_fpga_pcie,SHARED_to_FPGA,302592,3466.853984000001,3659.9717280000013,193.1177440000001
6,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,3491.061344000001,3871.5537760000007,380.49243199999967
0,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,3784.575584000001,3977.693328000001,193.1177440000001
7,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_SHARED,907776,3808.782944000001,4307.518608000001,498.73566399999964
0,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_SHARED,302592,4044.1995200000006,4302.490720000001,258.29119999999995
1,5,block_00_attention,block_00_proj,1,host_fpga_pcie,SHARED_to_FPGA,302592,4044.1995200000006,4302.490720000001,258.29119999999995
