request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,6912.677311999998,6933.563391999998,20.88608000000002
0,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,6933.563391999998,7032.993791999998,99.43040000000032
0,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,7398.421247999997,7556.395967999996,157.97471999999968
1,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,7398.421247999997,7419.307327999997,20.88608000000002
1,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,7419.307327999997,7577.282047999996,157.97471999999968
0,10,block_00_ffn_island,block_00_residual2,2,gpu_host,HOST_to_GPU,302592,7556.395967999996,7577.282047999996,20.88608000000002
1,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,7942.709503999997,8100.684223999998,157.97472000000056
2,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,7942.709503999997,7963.595583999996,20.886079999999154
2,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,7963.595583999996,8121.570303999997,157.97472000000056
1,10,block_00_ffn_island,block_00_residual2,2,gpu_host,HOST_to_GPU,302592,8100.684223999998,8121.570303999997,20.886079999999154
2,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,8486.997759999998,8644.972479999999,157.97472000000056
3,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,8486.997759999998,8507.883839999997,20.886079999999154
3,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,8507.883839999997,8665.858559999999,157.97472000000056
2,10,block_00_ffn_island,block_00_residual2,2,gpu_host,HOST_to_GPU,302592,8644.972479999999,8665.858559999999,20.886079999999154
3,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,9031.286016,9189.260736,157.97472000000056
4,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,9031.286016,9052.172095999998,20.886079999999154
