request_id,edge_index,source,target,stage,resource,direction,bytes,start_us,finish_us,duration_us
0,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,1362.8507520000007,1383.7368320000007,20.88608000000002
0,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,1383.7368320000007,1483.167232000001,99.43040000000009
1,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,1607.7710880000009,1628.657168000001,20.88608000000002
1,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,1628.657168000001,1804.1966880000014,175.53952000000027
0,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,1631.978448000001,1966.3787680000012,334.40032000000036
2,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,1928.8005440000013,1949.6866240000013,20.88608000000002
2,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,1949.6866240000013,2125.2261440000016,175.53952000000027
1,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,1953.0079040000012,2287.4082240000016,334.40032000000036
0,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,1966.3787680000012,2019.037008000001,52.65823999999961
3,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,2249.8300000000017,2270.7160800000015,20.886079999999588
3,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,2270.7160800000015,2446.2556000000013,175.5395199999998
2,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,2274.0373600000016,2608.4376800000014,334.4003199999999
1,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,2287.4082240000016,2340.0664640000014,52.65823999999961
4,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,2570.859456000001,2591.745536000001,20.886079999999588
4,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,2591.745536000001,2767.2850560000006,175.5395199999998
3,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,2595.066816000001,2929.467136000001,334.4003199999999
2,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,2608.4376800000014,2661.095920000001,52.65823999999961
5,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,2891.888912000001,2912.774992,20.886079999999588
5,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,2912.774992,3088.314512,175.5395199999998
4,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,2916.0962720000007,3250.4965920000004,334.4003199999999
3,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,2929.467136000001,2982.1253760000004,52.65823999999961
6,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,3212.918368,3233.804448,20.886079999999588
6,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,3233.804448,3409.3439679999997,175.5395199999998
5,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,3237.125728,3571.526048,334.4003199999999
4,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,3250.4965920000004,3303.154832,52.65823999999961
7,3,block_00_norm1,block_00_qkv,1,gpu_host,GPU_to_HOST,302592,3533.947824,3554.833903999999,20.886079999999588
7,3,block_00_norm1,block_00_qkv,2,host_fpga_pcie,HOST_to_FPGA,302592,3554.833903999999,3730.373423999999,175.5395199999998
6,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,3558.1551839999997,3892.5555039999995,334.4003199999999
5,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,3571.526048,3624.1842879999995,52.65823999999961
0,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,3854.977279999999,3875.863359999999,20.886079999999588
0,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,3875.863359999999,4051.4028799999983,175.53951999999938
7,4,block_00_qkv,block_00_attention,1,host_fpga_pcie,FPGA_to_HOST,907776,3879.184639999999,4354.493696,475.30905600000165
6,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,3892.5555039999995,3945.213743999999,52.65823999999961
0,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,4117.909071999998,4362.002719999999,244.0936480000008
1,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,4117.909071999998,4138.795151999998,20.88608000000002
1,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,4138.795151999998,4372.445759999999,233.65060800000123
7,4,block_00_qkv,block_00_attention,2,gpu_host,HOST_to_GPU,907776,4354.493696,4423.038016,68.54431999999983
0,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,4362.002719999999,4398.774879999997,36.77215999999938
1,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,4438.951951999998,4596.926671999998,157.97471999999968
2,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,4438.951951999998,4459.838031999998,20.88608000000002
2,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,4459.838031999998,4617.812751999998,157.97471999999968
1,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,4596.926671999998,4617.812751999998,20.88608000000002
2,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,4684.318943999997,4842.293663999996,157.97471999999968
3,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,4684.318943999997,4705.205023999997,20.88608000000002
3,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,4705.205023999997,4863.179743999996,157.97471999999968
2,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,4842.293663999996,4863.179743999996,20.88608000000002
3,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,4929.685935999996,5087.6606559999955,157.97471999999968
4,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,4929.685935999996,4950.5720159999955,20.88608000000002
4,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,4950.5720159999955,5108.546735999996,157.97471999999968
3,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,5087.6606559999955,5108.546735999996,20.88608000000002
4,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,5175.052927999995,5333.027647999995,157.97471999999968
5,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,5175.052927999995,5195.939007999995,20.88608000000002
5,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,5195.939007999995,5353.913727999995,157.97471999999968
4,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,5333.027647999995,5353.913727999995,20.88608000000002
5,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,5420.419919999994,5578.394639999993,157.97471999999968
6,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,5420.419919999994,5441.305999999994,20.88608000000002
6,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,5441.305999999994,5599.280719999993,157.97471999999968
5,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,5578.394639999993,5599.280719999993,20.88608000000002
0,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,5665.786911999993,5686.6729919999925,20.88608000000002
6,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,5665.786911999993,5823.7616319999925,157.97471999999968
0,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,5686.6729919999925,5844.647711999993,157.97471999999968
6,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,5823.7616319999925,5844.647711999993,20.88608000000002
0,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,6210.075167999991,6368.049887999991,157.97471999999968
7,5,block_00_attention,block_00_proj,1,gpu_host,GPU_to_HOST,302592,6210.075167999991,6230.961247999991,20.88608000000002
7,5,block_00_attention,block_00_proj,2,host_fpga_pcie,HOST_to_FPGA,302592,6230.961247999991,6388.935967999991,157.97471999999968
0,10,block_00_ffn_island,block_00_residual2,2,gpu_host,HOST_to_GPU,302592,6368.049887999991,6388.935967999991,20.88608000000002
1,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,6455.4421599999905,6476.328239999991,20.88608000000002
7,6,block_00_proj,block_00_residual1,1,host_fpga_pcie,FPGA_to_HOST,302592,6455.4421599999905,6613.41687999999,157.97471999999968
1,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,6476.328239999991,6634.30295999999,157.97471999999968
7,6,block_00_proj,block_00_residual1,2,gpu_host,HOST_to_GPU,302592,6613.41687999999,6634.30295999999,20.88608000000002
1,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,6999.7304159999885,7157.705135999989,157.97471999999968
2,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,6999.7304159999885,7020.616495999989,20.88608000000002
2,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,7020.616495999989,7178.591215999989,157.97471999999968
1,10,block_00_ffn_island,block_00_residual2,2,gpu_host,HOST_to_GPU,302592,7157.705135999989,7178.591215999989,20.88608000000002
2,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,7544.018671999987,7701.993391999987,157.97471999999968
3,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,7544.018671999987,7564.904751999988,20.88608000000002
3,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,7564.904751999988,7722.879471999987,157.97471999999968
2,10,block_00_ffn_island,block_00_residual2,2,gpu_host,HOST_to_GPU,302592,7701.993391999987,7722.879471999987,20.88608000000002
3,10,block_00_ffn_island,block_00_residual2,1,host_fpga_pcie,FPGA_to_HOST,302592,8088.306927999987,8246.281647999987,157.97472000000056
4,9,block_00_norm2,block_00_ffn_island,1,gpu_host,GPU_to_HOST,302592,8088.306927999987,8109.193007999987,20.886079999999154
4,9,block_00_norm2,block_00_ffn_island,2,host_fpga_pcie,HOST_to_FPGA,302592,8109.193007999987,8267.167727999988,157.97472000000056
