offered_rate_requests_per_s,policy,request_count,mean_latency_us,p50_latency_us,p95_latency_us,max_latency_us,slo_violation_rate,achieved_throughput_requests_per_s,latency_mode_requests,throughput_mode_requests,gpu_only_requests,task_records,transfer_records,valid_for_target_prediction
20,gpu_only,32,22184.37587199965,22184.375871998665,22184.375872001983,22184.375872001983,0.0,20.000000000000025,0,0,32,3232,0,False
20,latency_eft,32,16797.618496000654,16797.61849600007,16797.61849600263,16797.61849600263,0.0,20.0,32,0,0,3232,768,False
20,throughput_all,32,21358.705488001415,21358.70548800181,21358.705488001928,21358.705488001928,0.0,19.99999999999997,0,32,0,3232,2336,False
20,adaptive_dual_mode,32,16797.618496000654,16797.61849600007,16797.61849600263,16797.61849600263,0.0,20.0,32,0,0,3232,768,False
40,gpu_only,32,22184.375872000357,22184.375872000033,22184.375872001983,22184.375872001983,0.0,39.9999999999999,0,0,32,3232,0,False
40,latency_eft,32,16797.618496000687,16797.618495999945,16797.61849600263,16797.61849600263,0.0,39.999999999999865,32,0,0,3232,768,False
40,throughput_all,32,21358.705488000902,21358.70548800181,21358.705488001928,21358.705488001928,0.0,39.9999999999999,0,32,0,3232,2336,False
40,adaptive_dual_mode,32,16797.618496000687,16797.618495999945,16797.61849600263,16797.61849600263,0.0,39.999999999999865,32,0,0,3232,768,False
60,gpu_only,32,191197.51669266453,208699.60448000376,281725.4981759975,282169.7031253323,0.96875,45.45026719450371,0,0,32,3232,0,False
60,latency_eft,32,17575.57776933337,17600.720810666564,17600.72081066674,17600.720810666797,0.0,60.065357309046895,32,0,0,3232,768,False
60,throughput_all,32,23323.041377833168,23389.711226666914,23442.934266666896,23442.93426666723,0.0,59.97651519452536,0,32,0,3232,2336,False
60,adaptive_dual_mode,32,17575.57776933337,17600.720810666564,17600.72081066674,17600.720810666797,0.0,60.065357309046895,32,0,0,3232,768,False
80,gpu_only,32,319250.4284239986,363973.82534398633,417529.90304,418459.86335999775,1.0,45.90833804470064,0,0,32,3232,0,False
80,latency_eft,32,23204.220743999576,23437.230143999215,24329.85356799994,24481.887679999898,0.0,80.28764156201369,32,0,0,3232,768,False
80,throughput_all,32,25018.012527998948,25076.703568001758,25487.620816001057,25668.640784000127,0.0,79.96733674181112,0,32,0,3232,2336,False
80,adaptive_dual_mode,32,23204.220743999576,23437.230143999215,24329.85356799994,24481.887679999898,0.0,80.28764156201369,32,0,0,3232,768,False
100,gpu_only,32,396500.8719359988,441723.49779199006,484388.09580799995,486107.78214399924,1.0,46.518239438469145,0,0,32,3232,0,False
100,latency_eft,32,35113.424905996944,38137.19692800063,38616.8758399887,38643.03526398708,0.78125,97.80250724115322,32,0,0,3232,768,False
100,throughput_all,32,33148.045525249654,33982.81131199983,34593.93285133374,34593.93285133375,0.875,99.31587860175702,0,32,0,3232,2336,False
100,adaptive_dual_mode,32,35113.424905996944,38137.19692800063,38616.8758399887,38643.03526398708,0.78125,97.80250724115322,32,0,0,3232,768,False
120,gpu_only,32,447940.61943133216,489311.76603733696,525121.089237334,527520.0474026669,1.0,47.51499081799054,0,0,32,3232,0,False
120,latency_eft,32,80298.04129866292,81681.21536000088,113325.81348265684,114938.3543679913,0.96875,102.51908641935377,32,0,0,3232,768,False
120,throughput_all,32,70594.39200342224,71787.00171812557,95433.62497615351,95986.01820976229,0.96875,104.31673093696615,0,32,0,3232,2336,False
120,adaptive_dual_mode,32,61873.06485233265,62079.46444453386,83676.97253197312,85429.29739962798,0.9375,108.04423449735765,6,26,0,3232,2042,False
