offered_rate_requests_per_s,backlog_threshold,mean_latency_us,p95_latency_us,slo_violation_rate,achieved_throughput_requests_per_s,latency_mode_requests,throughput_mode_requests,valid_for_target_prediction
80,1,24863.935146998927,25487.62081600062,0.0,78.89344941554799,1,31,False
80,2,23204.220743999576,24329.85356799994,0.0,80.28764156201369,32,0,False
80,4,23204.220743999576,24329.85356799994,0.0,80.28764156201369,32,0,False
80,8,23204.220743999576,24329.85356799994,0.0,80.28764156201369,32,0,False
100,1,32888.56511214554,34593.93285133291,0.875,97.39101267105532,1,31,False
100,2,32617.130990374735,34593.93285133285,0.875,97.84121951673029,3,29,False
100,4,35113.424905996944,38616.8758399887,0.78125,97.80250724115322,32,0,False
100,8,35113.424905996944,38616.8758399887,0.78125,97.80250724115322,32,0,False
120,1,66902.41286303937,91242.71963781817,0.96875,103.61208935182279,1,31,False
120,2,66408.41516071108,90226.42890151253,0.9375,105.62361927098752,2,30,False
120,4,61873.06485233265,83676.97253197312,0.9375,108.04423449735765,6,26,False
120,8,63550.202679645925,95845.16946088857,0.96875,109.72053491466615,21,11,False
