direction,payload_bytes,path_kind,latency_mean_us,latency_p50_us,latency_p95_us,samples,source_kind,source_ref,notes
GPU_to_FPGA,1536,,,,,,,,
GPU_to_FPGA,4096,,,,,,,,
GPU_to_FPGA,16384,,,,,,,,
GPU_to_FPGA,65536,,,,,,,,
GPU_to_FPGA,262144,,,,,,,,
GPU_to_FPGA,301056,,,,,,,,
GPU_to_FPGA,302592,,,,,,,,
GPU_to_FPGA,907776,,,,,,,,
GPU_to_FPGA,1048576,,,,,,,,
GPU_to_FPGA,1210368,,,,,,,,
GPU_to_FPGA,4194304,,,,,,,,
FPGA_to_GPU,1536,,,,,,,,
FPGA_to_GPU,4096,,,,,,,,
FPGA_to_GPU,16384,,,,,,,,
FPGA_to_GPU,65536,,,,,,,,
FPGA_to_GPU,262144,,,,,,,,
FPGA_to_GPU,301056,,,,,,,,
FPGA_to_GPU,302592,,,,,,,,
FPGA_to_GPU,907776,,,,,,,,
FPGA_to_GPU,1048576,,,,,,,,
FPGA_to_GPU,1210368,,,,,,,,
FPGA_to_GPU,4194304,,,,,,,,
GPU_to_HOST,1536,,,,,,,,
GPU_to_HOST,4096,,,,,,,,
GPU_to_HOST,16384,,,,,,,,
GPU_to_HOST,65536,,,,,,,,
GPU_to_HOST,262144,,,,,,,,
GPU_to_HOST,301056,,,,,,,,
GPU_to_HOST,302592,,,,,,,,
GPU_to_HOST,907776,,,,,,,,
GPU_to_HOST,1048576,,,,,,,,
GPU_to_HOST,1210368,,,,,,,,
GPU_to_HOST,4194304,,,,,,,,
HOST_to_GPU,1536,,,,,,,,
HOST_to_GPU,4096,,,,,,,,
HOST_to_GPU,16384,,,,,,,,
HOST_to_GPU,65536,,,,,,,,
HOST_to_GPU,262144,,,,,,,,
HOST_to_GPU,301056,,,,,,,,
HOST_to_GPU,302592,,,,,,,,
HOST_to_GPU,907776,,,,,,,,
HOST_to_GPU,1048576,,,,,,,,
HOST_to_GPU,1210368,,,,,,,,
HOST_to_GPU,4194304,,,,,,,,
HOST_to_FPGA,1536,,,,,,,,
HOST_to_FPGA,4096,,,,,,,,
HOST_to_FPGA,16384,,,,,,,,
HOST_to_FPGA,65536,,,,,,,,
HOST_to_FPGA,262144,,,,,,,,
HOST_to_FPGA,301056,,,,,,,,
HOST_to_FPGA,302592,,,,,,,,
HOST_to_FPGA,907776,,,,,,,,
HOST_to_FPGA,1048576,,,,,,,,
HOST_to_FPGA,1210368,,,,,,,,
HOST_to_FPGA,4194304,,,,,,,,
FPGA_to_HOST,1536,,,,,,,,
FPGA_to_HOST,4096,,,,,,,,
FPGA_to_HOST,16384,,,,,,,,
FPGA_to_HOST,65536,,,,,,,,
FPGA_to_HOST,262144,,,,,,,,
FPGA_to_HOST,301056,,,,,,,,
FPGA_to_HOST,302592,,,,,,,,
FPGA_to_HOST,907776,,,,,,,,
FPGA_to_HOST,1048576,,,,,,,,
FPGA_to_HOST,1210368,,,,,,,,
FPGA_to_HOST,4194304,,,,,,,,
