direction,payload_bytes,path_kind,latency_mean_us,latency_p50_us,latency_p95_us,samples,source_kind,source_ref,notes
GPU_to_FPGA,3072,,,,,,,,
GPU_to_FPGA,4096,,,,,,,,
GPU_to_FPGA,16384,,,,,,,,
GPU_to_FPGA,65536,,,,,,,,
GPU_to_FPGA,262144,,,,,,,,
GPU_to_FPGA,602112,,,,,,,,
GPU_to_FPGA,605184,,,,,,,,
GPU_to_FPGA,1048576,,,,,,,,
GPU_to_FPGA,1815552,,,,,,,,
GPU_to_FPGA,4194304,,,,,,,,
FPGA_to_GPU,3072,,,,,,,,
FPGA_to_GPU,4096,,,,,,,,
FPGA_to_GPU,16384,,,,,,,,
FPGA_to_GPU,65536,,,,,,,,
FPGA_to_GPU,262144,,,,,,,,
FPGA_to_GPU,602112,,,,,,,,
FPGA_to_GPU,605184,,,,,,,,
FPGA_to_GPU,1048576,,,,,,,,
FPGA_to_GPU,1815552,,,,,,,,
FPGA_to_GPU,4194304,,,,,,,,
GPU_to_HOST,3072,,,,,,,,
GPU_to_HOST,4096,,,,,,,,
GPU_to_HOST,16384,,,,,,,,
GPU_to_HOST,65536,,,,,,,,
GPU_to_HOST,262144,,,,,,,,
GPU_to_HOST,602112,,,,,,,,
GPU_to_HOST,605184,,,,,,,,
GPU_to_HOST,1048576,,,,,,,,
GPU_to_HOST,1815552,,,,,,,,
GPU_to_HOST,4194304,,,,,,,,
HOST_to_GPU,3072,,,,,,,,
HOST_to_GPU,4096,,,,,,,,
HOST_to_GPU,16384,,,,,,,,
HOST_to_GPU,65536,,,,,,,,
HOST_to_GPU,262144,,,,,,,,
HOST_to_GPU,602112,,,,,,,,
HOST_to_GPU,605184,,,,,,,,
HOST_to_GPU,1048576,,,,,,,,
HOST_to_GPU,1815552,,,,,,,,
HOST_to_GPU,4194304,,,,,,,,
HOST_to_FPGA,3072,,,,,,,,
HOST_to_FPGA,4096,,,,,,,,
HOST_to_FPGA,16384,,,,,,,,
HOST_to_FPGA,65536,,,,,,,,
HOST_to_FPGA,262144,,,,,,,,
HOST_to_FPGA,602112,,,,,,,,
HOST_to_FPGA,605184,,,,,,,,
HOST_to_FPGA,1048576,,,,,,,,
HOST_to_FPGA,1815552,,,,,,,,
HOST_to_FPGA,4194304,,,,,,,,
FPGA_to_HOST,3072,,,,,,,,
FPGA_to_HOST,4096,,,,,,,,
FPGA_to_HOST,16384,,,,,,,,
FPGA_to_HOST,65536,,,,,,,,
FPGA_to_HOST,262144,,,,,,,,
FPGA_to_HOST,602112,,,,,,,,
FPGA_to_HOST,605184,,,,,,,,
FPGA_to_HOST,1048576,,,,,,,,
FPGA_to_HOST,1815552,,,,,,,,
FPGA_to_HOST,4194304,,,,,,,,
