path_kind,one_way_fixed_latency_us,fpga_linear_speedup_over_gpu,minimum_tested_profitable_bandwidth_GBps,speedup_at_threshold,offloaded_linear_tasks_at_threshold,tested_bandwidths_GBps,valid_for_target_prediction
direct_dma_one_copy,10,2,6.4,1.0255708653609854,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,10,4,6.4,1.2839367845048393,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,10,8,3.2,1.0094755575627128,24,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,10,16,3.2,1.0497154359530592,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,25,2,7.2,1.021652451654783,24,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,25,4,6.4,1.2158163388020493,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,25,8,6.4,1.3804783816120711,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,25,16,3.2,1.0161888164497443,24,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,50,2,,,0,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,50,4,6.4,1.1170403365939638,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,50,8,6.4,1.2545213860920825,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,50,16,6.4,1.336784549181961,36,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,100,2,,,0,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,100,4,7.2,1.0186190202926682,24,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,100,8,6.4,1.0684670517388348,24,"2.5,3.2,6.4,7.2",False
direct_dma_one_copy,100,16,6.4,1.1191640602474793,36,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,10,2,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,10,4,6.4,1.0304809478520252,24,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,10,8,6.4,1.142606296316549,36,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,10,16,6.4,1.2104499730321523,36,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,25,2,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,25,4,6.4,1.0004875103070094,24,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,25,8,6.4,1.0883403706042807,36,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,25,16,6.4,1.1497197732736175,36,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,50,2,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,50,4,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,50,8,6.4,1.0238277776086269,24,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,50,16,6.4,1.0625971707639443,24,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,100,2,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,100,4,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,100,8,,,0,"2.5,3.2,6.4,7.2",False
host_staged_two_copy,100,16,,,0,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,10,2,6.4,1.0255708653609854,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,10,4,6.4,1.2839367845048393,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,10,8,3.2,1.0094755575627128,24,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,10,16,3.2,1.0497154359530592,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,25,2,7.2,1.021652451654783,24,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,25,4,6.4,1.2158163388020493,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,25,8,6.4,1.3804783816120711,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,25,16,3.2,1.0161888164497443,24,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,50,2,,,0,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,50,4,6.4,1.1170403365939638,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,50,8,6.4,1.2545213860920825,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,50,16,6.4,1.336784549181961,36,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,100,2,,,0,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,100,4,7.2,1.0186190202926682,24,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,100,8,6.4,1.0684670517388348,24,"2.5,3.2,6.4,7.2",False
shared_mapped_one_copy,100,16,6.4,1.1191640602474793,36,"2.5,3.2,6.4,7.2",False
