offered_rate_requests_per_s,policy,request_count,mean_latency_us,p50_latency_us,p95_latency_us,max_latency_us,slo_violation_rate,achieved_throughput_requests_per_s,latency_mode_requests,throughput_mode_requests,gpu_only_requests,task_records,transfer_records,valid_for_target_prediction,execution_mode
20,gpu_only,48,36877.5230488796,30813.268244439794,61134.54226663882,73361.45071996658,1.0,20.0,0,0,48,4848,0,False,analytical_fallback_no_simgrid
20,latency_eft,48,16563.66647270709,16395.99963635356,17234.33381812119,20681.20058174543,0.0,20.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
20,throughput_all,48,17695.403388171733,17463.357974085895,18623.585044515097,22348.302053418116,0.0,20.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
20,adaptive_dual_mode,48,16563.66647270709,16395.99963635356,17234.33381812119,20681.20058174543,0.0,20.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
40,gpu_only,48,631099.8427199991,327924.4280799996,1843801.5012799972,2212561.8015359966,1.0,40.0,0,0,48,4848,0,False,analytical_fallback_no_simgrid
40,latency_eft,48,16992.814861613057,16610.57383080655,18521.7789848391,22226.13478180692,0.0,40.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
40,throughput_all,48,18317.98041186431,17774.646485932182,20491.316115592832,24589.5793387114,0.0,40.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
40,adaptive_dual_mode,48,16992.814861613057,16610.57383080655,18521.7789848391,22226.13478180692,0.0,40.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
60,gpu_only,48,631099.8427199991,327924.4280799996,1843801.5012799972,2212561.8015359966,1.0,40.40565101410363,0,0,48,4848,0,False,analytical_fallback_no_simgrid
60,latency_eft,48,17561.549800959863,16894.94130047995,20227.98380287952,24273.580563455424,0.0,60.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
60,throughput_all,48,19196.944198701694,18214.128379350874,23128.207476104973,27753.848971325966,0.0,60.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
60,adaptive_dual_mode,48,17561.549800959863,16894.94130047995,20227.98380287952,24273.580563455424,0.0,60.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
80,gpu_only,48,631099.8427199991,327924.4280799996,1843801.5012799972,2212561.8015359966,1.0,40.40565101410363,0,0,48,4848,0,False,analytical_fallback_no_simgrid
80,latency_eft,48,18351.20200369106,17289.76740184555,22596.940411073112,27116.328493287732,0.0,80.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
80,throughput_all,48,20531.737549928173,18881.525054964113,27132.58752978441,32559.10503574129,0.0,80.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
80,adaptive_dual_mode,48,18351.20200369106,17289.76740184555,22596.940411073112,27116.328493287732,0.0,80.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
100,gpu_only,48,631099.8427199991,327924.4280799996,1843801.5012799972,2212561.8015359966,1.0,40.40565101410363,0,0,48,4848,0,False,analytical_fallback_no_simgrid
100,latency_eft,48,19521.514957892545,17874.92387894629,26107.879273677558,31329.45512841307,0.0,100.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
100,throughput_all,48,22801.08155325621,20016.19705662813,33940.61953976852,40728.74344772223,1.0,100.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
100,adaptive_dual_mode,48,19521.514957892545,17874.92387894629,26107.879273677558,31329.45512841307,0.0,100.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
120,gpu_only,48,631099.8427199991,327924.4280799996,1843801.5012799972,2212561.8015359966,1.0,40.40565101410363,0,0,48,4848,0,False,analytical_fallback_no_simgrid
120,latency_eft,48,21435.155100484044,18831.743950242042,31848.799701452062,38218.559641742475,1.0,120.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
120,throughput_all,48,27515.120486955788,22373.21652347792,48082.73634086725,57699.2836090407,1.0,120.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
120,adaptive_dual_mode,48,21435.155100484044,18831.743950242042,31848.799701452062,38218.559641742475,1.0,120.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
140,gpu_only,48,631099.8427199991,327924.4280799996,1843801.5012799972,2212561.8015359966,1.0,40.40565101410363,0,0,48,4848,0,False,analytical_fallback_no_simgrid
140,latency_eft,48,25129.878178860134,20679.105489430087,42932.968936580335,51519.5627238964,1.0,140.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
140,throughput_all,48,43236.25129054614,30233.7819252731,95246.12875163832,114295.35450196598,1.0,140.0,0,48,0,4848,0,False,analytical_fallback_no_simgrid
140,adaptive_dual_mode,48,25129.878178860134,20679.105489430087,42932.968936580335,51519.5627238964,1.0,140.0,48,0,0,4848,0,False,analytical_fallback_no_simgrid
