task_id,task_type,device,input_shape_batch1,output_shape_batch1,precision,kernel_or_bitstream,latency_mean_us,latency_p50_us,latency_p95_us,samples,source_kind,source_ref,hardware,notes
patch_embedding,patch_embedding,GPU,1x3x224x224,1x196x768,,,,,,,,,,
token_embedding,token_and_position_embedding,GPU,1x196x768,1x197x768,,,,,,,,,,
block_00_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_00_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_00_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_00_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_00_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_00_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_00_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_00_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_00_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_00_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_00_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_01_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_01_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_01_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_01_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_01_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_01_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_01_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_01_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_01_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_01_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_01_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_02_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_02_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_02_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_02_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_02_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_02_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_02_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_02_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_02_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_02_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_02_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_03_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_03_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_03_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_03_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_03_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_03_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_03_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_03_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_03_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_03_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_03_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_04_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_04_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_04_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_04_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_04_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_04_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_04_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_04_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_04_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_04_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_04_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_05_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_05_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_05_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_05_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_05_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_05_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_05_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_05_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_05_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
block_05_ffn_island,fused_ffn_island,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_05_residual2,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_06_norm1,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_06_qkv,linear_qkv,GPU,1x197x768,1x197x2304,,,,,,,,,,
block_06_qkv,linear_qkv,FPGA,1x197x768,1x197x2304,,,,,,,,,,
block_06_attention,self_attention,GPU,1x197x2304,1x197x768,,,,,,,,,,
block_06_proj,linear_projection,GPU,1x197x768,1x197x768,,,,,,,,,,
block_06_proj,linear_projection,FPGA,1x197x768,1x197x768,,,,,,,,,,
block_06_residual1,residual_add,GPU,1x197x768,1x197x768,,,,,,,,,,
block_06_norm2,layer_norm,GPU,1x197x768,1x197x768,,,,,,,,,,
block_06_ffn_island,fused_ffn_island,GPU,1x197x768,1x197x768,,,,,,,,,,
