case,fusion,path_kind,compression,compression_ratio,fpga_input_buffers,policy,request_count,tasks_per_request,simgrid_makespan_us,mean_completion_us,throughput_requests_per_s,offloaded_linear_tasks,cross_device_edges,uncompressed_cross_device_bytes,logical_cross_device_bytes,physical_link_bytes,endpoint_codec_us_per_request,task_records,transfer_records,valid_for_target_prediction,execution_mode,latency_speedup_vs_gpu_only,throughput_speedup_vs_gpu_only
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,gpu_only,1,125,24749.01344000001,24749.01344000001,40.4056510141036,0,0,0,0,0,0.0,125,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,static_all_fpga,1,125,35591.274160000066,35591.274160000066,28.096774380835996,49,97,58099200,58099200,116198400,0.0,125,194,False,analytical_fallback_no_simgrid,0.6953674467719579,0.695367446771958
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,communication_eft,1,125,24749.01344000001,24749.01344000001,40.4056510141036,0,0,0,0,0,0.0,125,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,gpu_only,8,125,197992.10752000008,111370.56048000004,40.4056510141036,0,0,0,0,0,0.0,1000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,static_all_fpga,8,125,179658.27416000035,107624.7741600002,44.528981687063,49,97,58099200,58099200,116198400,0.0,1000,1552,False,analytical_fallback_no_simgrid,1.1020483662426366,1.1020483662426366
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,communication_eft,8,125,197992.10752000008,111370.56048000004,40.4056510141036,0,0,0,0,0,0.0,1000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,gpu_only,16,125,395984.21504000016,210366.61424000008,40.4056510141036,0,0,0,0,0,0.0,2000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,static_all_fpga,16,125,344306.2741600007,189948.77416000038,46.470253959312764,49,97,58099200,58099200,116198400,0.0,2000,3104,False,analytical_fallback_no_simgrid,1.1500929397992452,1.1500929397992454
rf880_baseline_linear_host_staged,False,host_staged_two_copy,none,1.0,1,communication_eft,16,125,395984.21504000016,210366.61424000008,40.4056510141036,0,0,0,0,0,0.0,2000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,1,125,24749.01344000001,24749.01344000001,40.4056510141036,0,0,0,0,0,0.0,125,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,1,125,27385.43416000004,27385.43416000004,36.515762144119265,49,97,58099200,29049600,58099200,0.0,125,194,False,analytical_fallback_no_simgrid,0.9037290880766512,0.9037290880766513
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,1,125,24749.01344000001,24749.01344000001,40.4056510141036,0,0,0,0,0,0.0,125,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,8,125,197992.10752000008,111370.56048000004,40.4056510141036,0,0,0,0,0,0.0,1000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,8,125,107906.43415999989,67645.93415999998,74.13830382104814,49,97,58099200,29049600,58099200,0.0,1000,1552,False,analytical_fallback_no_simgrid,1.8348498776859248,1.8348498776859246
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,8,125,197992.10752000008,111370.56048000004,40.4056510141036,0,0,0,0,0,0.0,1000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,16,125,395984.21504000016,210366.61424000008,40.4056510141036,0,0,0,0,0,0.0,2000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,16,125,199930.4341599997,113657.93415999989,80.02783601818005,49,97,58099200,29049600,58099200,0.0,2000,3104,False,analytical_fallback_no_simgrid,1.9806099891880549,1.980609989188055
rf880_activation_compression_2x,False,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,16,125,395984.21504000016,210366.61424000008,40.4056510141036,0,0,0,0,0,0.0,2000,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,gpu_only,1,101,24749.013439999988,24749.013439999988,40.40565101410363,0,0,0,0,0,0.0,101,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,static_all_fpga,1,101,23030.778160000053,23030.778160000053,43.42015684631985,49,73,29050368,29050368,58100736,0.0,101,146,False,analytical_fallback_no_simgrid,1.0746060453564774,1.0746060453564774
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,communication_eft,1,101,17850.05792000002,17850.05792000002,56.02222718165829,24,24,7262208,7262208,14524416,0.0,101,48,False,analytical_fallback_no_simgrid,1.3864948534575936,1.3864948534575936
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,gpu_only,8,101,197992.1075199999,111370.56047999996,40.40565101410363,0,0,0,0,0,0.0,808,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,static_all_fpga,8,101,99353.45816000018,61192.118160000115,80.52059936471149,49,73,29050368,29050368,58100736,0.0,808,1168,False,analytical_fallback_no_simgrid,1.992805395874099,1.9928053958740992
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,communication_eft,8,101,89183.30368000007,53516.680800000046,89.70288910472433,24,24,7262208,7262208,14524416,0.0,808,384,False,analytical_fallback_no_simgrid,2.220058008059651,2.220058008059651
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,gpu_only,16,101,395984.2150399998,210366.61423999988,40.40565101410363,0,0,0,0,0,0.0,1616,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,static_all_fpga,16,101,186579.3781600003,104805.07816000018,85.75438592296771,49,73,29050368,29050368,58100736,0.0,1616,2336,False,analytical_fallback_no_simgrid,2.1223364497464736,2.1223364497464736
rf880_ffn_fusion_residency,True,host_staged_two_copy,none,1.0,1,communication_eft,16,101,170707.01312000013,94278.53552000008,93.72784226944822,24,24,7262208,7262208,14524416,0.0,1616,768,False,analytical_fallback_no_simgrid,2.319671628028773,2.319671628028773
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,1,101,24749.013439999988,24749.013439999988,40.40565101410363,0,0,0,0,0,0.0,101,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,1,101,19025.744560000054,19025.744560000054,52.56036087556918,49,73,29050368,14525184,29050368,0.0,101,146,False,analytical_fallback_no_simgrid,1.300817077720711,1.3008170777207113
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,1,101,16871.856320000035,16871.856320000035,59.27030085092604,24,24,7262208,3631104,7262208,0.0,101,48,False,analytical_fallback_no_simgrid,1.4668814723524113,1.4668814723524113
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,8,101,197992.1075199999,111370.56047999996,40.40565101410363,0,0,0,0,0,0.0,808,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,8,101,63574.58456000009,41300.16456000008,125.83644950836921,49,73,29050368,14525184,29050368,0.0,808,1168,False,analytical_fallback_no_simgrid,3.1143279801245094,3.11432798012451
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,8,101,88205.10208000008,52538.47920000006,90.69770128199814,24,24,7262208,3631104,7262208,0.0,808,384,False,analytical_fallback_no_simgrid,2.244678628005276,2.244678628005276
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,gpu_only,16,101,395984.2150399998,210366.61423999988,40.40565101410363,0,0,0,0,0,0.0,1616,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,static_all_fpga,16,101,114487.54456000014,66756.6445600001,139.75319377746624,49,73,29050368,14525184,29050368,0.0,1616,2336,False,analytical_fallback_no_simgrid,3.4587536710814346,3.4587536710814346
rf880_fusion_compression_host_staged,True,host_staged_two_copy,lightweight_2x,0.5,1,communication_eft,16,101,169728.81152000016,93300.33392000009,94.26802589797563,24,24,7262208,3631104,7262208,0.0,1616,768,False,analytical_fallback_no_simgrid,2.3330406399112658,2.333040639911266
rf880_fusion_compression_shared_single_buffer,True,shared_mapped_one_copy,lightweight_2x,0.5,1,gpu_only,1,101,24749.013439999988,24749.013439999988,40.40565101410363,0,0,0,0,0,0.0,101,0,False,analytical_fallback_no_simgrid,1.0,1.0
rf880_fusion_compression_shared_single_buffer,True,shared_mapped_one_copy,lightweight_2x,0.5,1,static_all_fpga,1,101,17231.312560000053,17231.312560000053,58.0338843322564,49,73,29050368,14525184,14525184,0.0,101,73,False,analytical_fallback_no_simgrid,1.4362813833144183,1.4362813833144183
