request_id,arrival_us,backlog_at_arrival,selected_mode
0,0.0,0,gpu_only
1,10000.0,1,gpu_only
2,20000.0,2,gpu_only
3,30000.0,3,gpu_only
4,40000.0,4,gpu_only
5,50000.0,5,gpu_only
6,60000.0,5,gpu_only
7,70000.0,6,gpu_only
8,80000.0,7,gpu_only
9,90000.0,8,gpu_only
10,100000.0,9,gpu_only
11,110000.0,10,gpu_only
12,120000.0,11,gpu_only
13,130000.0,12,gpu_only
14,140000.0,13,gpu_only
15,150000.0,13,gpu_only
16,160000.0,14,gpu_only
17,170000.0,15,gpu_only
18,180000.0,16,gpu_only
19,190000.0,17,gpu_only
20,200000.0,18,gpu_only
21,210000.0,19,gpu_only
22,220000.0,20,gpu_only
23,230000.0,21,gpu_only
24,240000.0,21,gpu_only
25,250000.0,22,gpu_only
26,260000.0,23,gpu_only
27,270000.0,24,gpu_only
28,280000.0,25,gpu_only
29,290000.0,26,gpu_only
30,300000.0,27,gpu_only
31,310000.0,28,gpu_only
32,320000.0,29,gpu_only
33,330000.0,29,gpu_only
34,340000.0,30,gpu_only
35,350000.0,31,gpu_only
36,360000.0,32,gpu_only
37,370000.0,33,gpu_only
38,380000.0,34,gpu_only
39,390000.0,35,gpu_only
40,400000.0,35,gpu_only
41,410000.0,36,gpu_only
42,420000.0,37,gpu_only
43,430000.0,38,gpu_only
44,440000.0,39,gpu_only
45,450000.0,40,gpu_only
46,460000.0,41,gpu_only
47,470000.0,42,gpu_only
48,480000.0,42,gpu_only
49,490000.0,43,gpu_only
50,500000.0,44,gpu_only
51,510000.0,45,gpu_only
52,520000.0,46,gpu_only
53,530000.0,47,gpu_only
54,540000.0,48,gpu_only
55,550000.0,49,gpu_only
56,560000.0,50,gpu_only
57,570000.0,50,gpu_only
58,580000.0,51,gpu_only
59,590000.0,52,gpu_only
60,600000.0,53,gpu_only
61,610000.0,54,gpu_only
62,620000.0,55,gpu_only
63,630000.0,56,gpu_only
