request_id,selected_mode,task_id,task_type,device,start_us,finish_us
0,fixed_manifest,patch_embedding,patch_embedding,GPU,0.0,151.50688000000002
0,fixed_manifest,token_embedding,token_and_position_embedding,GPU,151.50688000000002,169.85408
0,fixed_manifest,block_00_norm1,layer_norm,GPU,169.85408,191.98368000000002
0,fixed_manifest,block_00_qkv,linear_qkv,GPU,191.98368000000002,634.7161600000001
0,fixed_manifest,block_00_attention,self_attention,GPU,634.7161600000001,790.7427200000001
0,fixed_manifest,block_00_proj,linear_projection,GPU,790.7427200000001,942.98688
0,fixed_manifest,block_00_residual1,residual_add,GPU,942.98688,961.33408
0,fixed_manifest,block_00_norm2,layer_norm,GPU,961.33408,983.4636800000001
0,fixed_manifest,block_00_ffn_island,fused_ffn_island,FPGA,1142.2284800000002,1474.9760000000003
0,fixed_manifest,block_00_residual2,residual_add,GPU,1633.7408000000003,1652.0880000000004
0,fixed_manifest,block_01_norm1,layer_norm,GPU,1652.0880000000004,1674.2176000000004
0,fixed_manifest,block_01_qkv,linear_qkv,GPU,1674.2176000000004,2116.9500800000005
0,fixed_manifest,block_01_attention,self_attention,GPU,2116.9500800000005,2272.9766400000003
0,fixed_manifest,block_01_proj,linear_projection,GPU,2272.9766400000003,2425.2208000000005
0,fixed_manifest,block_01_residual1,residual_add,GPU,2425.2208000000005,2443.568
0,fixed_manifest,block_01_norm2,layer_norm,GPU,2443.568,2465.6976
0,fixed_manifest,block_01_ffn_island,fused_ffn_island,FPGA,2624.4624,2957.20992
0,fixed_manifest,block_01_residual2,residual_add,GPU,3115.9747199999997,3134.3219199999994
0,fixed_manifest,block_02_norm1,layer_norm,GPU,3134.3219199999994,3156.4515199999996
0,fixed_manifest,block_02_qkv,linear_qkv,GPU,3156.4515199999996,3599.1839999999993
0,fixed_manifest,block_02_attention,self_attention,GPU,3599.1839999999993,3755.210559999999
0,fixed_manifest,block_02_proj,linear_projection,GPU,3755.210559999999,3907.4547199999993
0,fixed_manifest,block_02_residual1,residual_add,GPU,3907.4547199999993,3925.8019199999994
0,fixed_manifest,block_02_norm2,layer_norm,GPU,3925.8019199999994,3947.9315199999996
0,fixed_manifest,block_02_ffn_island,fused_ffn_island,FPGA,4106.69632,4439.443840000001
0,fixed_manifest,block_02_residual2,residual_add,GPU,4598.208640000002,4616.555840000002
0,fixed_manifest,block_03_norm1,layer_norm,GPU,4616.555840000002,4638.685440000002
0,fixed_manifest,block_03_qkv,linear_qkv,GPU,4638.685440000002,5081.417920000002
0,fixed_manifest,block_03_attention,self_attention,GPU,5081.417920000002,5237.444480000002
0,fixed_manifest,block_03_proj,linear_projection,GPU,5237.444480000002,5389.688640000002
0,fixed_manifest,block_03_residual1,residual_add,GPU,5389.688640000002,5408.035840000002
0,fixed_manifest,block_03_norm2,layer_norm,GPU,5408.035840000002,5430.1654400000025
0,fixed_manifest,block_03_ffn_island,fused_ffn_island,FPGA,5588.930240000003,5921.677760000003
0,fixed_manifest,block_03_residual2,residual_add,GPU,6080.442560000004,6098.789760000004
0,fixed_manifest,block_04_norm1,layer_norm,GPU,6098.789760000004,6120.919360000004
0,fixed_manifest,block_04_qkv,linear_qkv,GPU,6120.919360000004,6563.651840000005
0,fixed_manifest,block_04_attention,self_attention,GPU,6563.651840000005,6719.678400000004
0,fixed_manifest,block_04_proj,linear_projection,GPU,6719.678400000004,6871.9225600000045
0,fixed_manifest,block_04_residual1,residual_add,GPU,6871.9225600000045,6890.269760000005
0,fixed_manifest,block_04_norm2,layer_norm,GPU,6890.269760000005,6912.399360000005
0,fixed_manifest,block_04_ffn_island,fused_ffn_island,FPGA,7071.164160000006,7403.911680000006
0,fixed_manifest,block_04_residual2,residual_add,GPU,7562.676480000006,7581.023680000007
0,fixed_manifest,block_05_norm1,layer_norm,GPU,7581.023680000007,7603.153280000007
0,fixed_manifest,block_05_qkv,linear_qkv,GPU,7603.153280000007,8045.8857600000065
0,fixed_manifest,block_05_attention,self_attention,GPU,8045.8857600000065,8201.912320000007
0,fixed_manifest,block_05_proj,linear_projection,GPU,8201.912320000007,8354.156480000007
0,fixed_manifest,block_05_residual1,residual_add,GPU,8354.156480000007,8372.503680000005
0,fixed_manifest,block_05_norm2,layer_norm,GPU,8372.503680000005,8394.633280000005
0,fixed_manifest,block_05_ffn_island,fused_ffn_island,FPGA,8553.398080000004,8886.145600000003
0,fixed_manifest,block_05_residual2,residual_add,GPU,9044.910400000002,9063.257600000003
0,fixed_manifest,block_06_norm1,layer_norm,GPU,9063.257600000003,9085.387200000003
0,fixed_manifest,block_06_qkv,linear_qkv,GPU,9085.387200000003,9528.119680000002
0,fixed_manifest,block_06_attention,self_attention,GPU,9528.119680000002,9684.146240000002
0,fixed_manifest,block_06_proj,linear_projection,GPU,9684.146240000002,9836.390400000002
0,fixed_manifest,block_06_residual1,residual_add,GPU,9836.390400000002,9854.737600000002
0,fixed_manifest,block_06_norm2,layer_norm,GPU,9854.737600000002,9876.867200000002
0,fixed_manifest,block_06_ffn_island,fused_ffn_island,FPGA,10035.632000000001,10368.37952
0,fixed_manifest,block_06_residual2,residual_add,GPU,10527.14432,10545.491519999998
0,fixed_manifest,block_07_norm1,layer_norm,GPU,10545.491519999998,10567.621119999998
0,fixed_manifest,block_07_qkv,linear_qkv,GPU,10567.621119999998,11010.353599999999
0,fixed_manifest,block_07_attention,self_attention,GPU,11010.353599999999,11166.380159999997
0,fixed_manifest,block_07_proj,linear_projection,GPU,11166.380159999997,11318.624319999997
0,fixed_manifest,block_07_residual1,residual_add,GPU,11318.624319999997,11336.971519999997
0,fixed_manifest,block_07_norm2,layer_norm,GPU,11336.971519999997,11359.101119999998
0,fixed_manifest,block_07_ffn_island,fused_ffn_island,FPGA,11517.865919999997,11850.613439999996
