request_id,selected_mode,arrival_us,completion_us,latency_us,slo_met
0,gpu_only,0.0,33081.19744000001,33081.19744000001,False
1,gpu_only,16666.666666666668,74113.3232,57446.65653333333,False
2,gpu_only,33333.333333333336,108138.80960000017,74805.47626666684,False
3,gpu_only,50000.0,148980.08128000033,98980.08128000033,False
4,gpu_only,66666.66666666667,187596.16064000054,120929.49397333387,False
5,gpu_only,83333.33333333334,225228.7763200007,141895.44298666736,False
6,gpu_only,100000.0,261786.4236800004,161786.4236800004,False
7,gpu_only,116666.66666666667,302121.2268799988,185454.56021333212,False
8,gpu_only,133333.33333333334,337480.61887999746,204147.28554666412,False
9,gpu_only,150000.0,376990.46527999593,226990.46527999593,False
10,gpu_only,166666.6666666667,419520.5939199943,252853.92725332762,False
11,gpu_only,183333.33333333334,453859.26303999295,270525.92970665963,False
12,gpu_only,200000.0,496143.94847999123,296143.94847999123,False
13,gpu_only,216666.6666666667,531655.7571199945,314989.0904533278,False
14,gpu_only,233333.33333333334,572298.6585599987,338965.32522666536,False
15,gpu_only,250000.00000000003,615259.6076800032,365259.60768000316,False
16,gpu_only,266666.6666666667,648183.809920006,381517.1432533393,False
17,gpu_only,283333.3333333334,685135.9974400104,401802.66410667705,False
18,gpu_only,300000.0,725716.2924800145,425716.2924800145,False
19,gpu_only,316666.6666666667,761932.7571200181,445266.09045335144,False
20,gpu_only,333333.3333333334,799018.9923200218,465685.6589866885,False
21,gpu_only,350000.0,838864.0003200267,488864.00032002665,False
22,gpu_only,366666.6666666667,873530.9715200299,506864.30485336325,False
23,gpu_only,383333.3333333334,916788.1068800342,533454.7735467008,False
24,gpu_only,400000.0,955468.8908800387,555468.8908800387,False
25,gpu_only,416666.6666666667,992938.4800000425,576271.8133333758,False
26,gpu_only,433333.3333333334,1031008.3616000409,597675.0282667076,False
27,gpu_only,450000.00000000006,1069612.2976000383,619612.2976000383,False
28,gpu_only,466666.6666666667,1108496.294720036,641829.6280533692,False
29,gpu_only,483333.3333333334,1142499.0380800336,659165.7047467002,False
30,gpu_only,500000.00000000006,1177195.4940800315,677195.4940800315,False
31,gpu_only,516666.6666666667,1210830.5779200292,694163.9112533624,False
32,gpu_only,533333.3333333334,1240547.448000027,707214.1146666937,False
33,gpu_only,550000.0,1270038.2812800254,720038.2812800254,False
34,gpu_only,566666.6666666667,1293336.7097600237,726670.043093357,False
35,gpu_only,583333.3333333334,1316957.5801600225,733624.2468266891,False
36,gpu_only,600000.0,1337143.4460800209,737143.4460800209,False
37,gpu_only,616666.6666666667,1362716.0553600192,746049.3886933525,False
38,gpu_only,633333.3333333334,1383853.3712000176,750520.0378666843,False
39,gpu_only,650000.0,1399095.3667200168,749095.3667200168,False
40,gpu_only,666666.6666666667,1418138.9068800157,751472.240213349,False
41,gpu_only,683333.3333333334,1435108.552000014,751775.2186666807,False
42,gpu_only,700000.0,1451009.2601600133,751009.2601600133,False
43,gpu_only,716666.6666666667,1463891.3804800124,747224.7138133456,False
44,gpu_only,733333.3333333334,1477421.2700800116,744087.9367466782,False
45,gpu_only,750000.0,1490767.6876800107,740767.6876800107,False
46,gpu_only,766666.6666666667,1501622.98592001,734956.3192533432,False
47,gpu_only,783333.3333333334,1512405.8640000091,729072.5306666758,False
48,gpu_only,800000.0,1523532.7385600084,723532.7385600084,False
49,gpu_only,816666.6666666667,1528613.592320008,711946.9256533412,False
50,gpu_only,833333.3333333334,1539599.005120007,706265.6717866737,False
51,gpu_only,850000.0000000001,1544831.699200007,694831.6992000068,False
52,gpu_only,866666.6666666667,1552405.3564800061,685738.6898133394,False
53,gpu_only,883333.3333333334,1557804.8595200058,674471.5261866724,False
54,gpu_only,900000.0000000001,1563244.8393600055,663244.8393600053,False
55,gpu_only,916666.6666666667,1567447.378880005,650780.7122133384,False
56,gpu_only,933333.3333333334,1571016.5632000049,637683.2298666715,False
57,gpu_only,950000.0000000001,1575521.5030400045,625521.5030400044,False
58,gpu_only,966666.6666666667,1579031.8633600043,612365.1966933375,False
59,gpu_only,983333.3333333334,1581114.160640004,597780.8273066707,False
60,gpu_only,1000000.0000000001,1582575.569280004,582575.5692800038,False
61,gpu_only,1016666.6666666667,1583844.2569600036,567177.5902933369,False
62,gpu_only,1033333.3333333334,1583921.8617600037,550588.5284266704,False
63,gpu_only,1050000.0,1583936.8601600036,533936.8601600036,False
