request_id,selected_mode,arrival_us,completion_us,latency_us,slo_met
0,fixed_manifest,0.0,18693.316479999998,18693.316479999998,True
1,fixed_manifest,16666.666666666668,36558.553173333305,19891.886506666637,True
2,fixed_manifest,33333.333333333336,53225.219839999976,19891.88650666664,True
3,fixed_manifest,50000.0,69891.88650666668,19891.886506666677,True
4,fixed_manifest,66666.66666666667,86558.55317333336,19891.88650666669,True
5,fixed_manifest,83333.33333333334,103225.21984000002,19891.886506666677,True
6,fixed_manifest,100000.0,119891.88650666668,19891.886506666677,True
7,fixed_manifest,116666.66666666667,136558.55317333338,19891.886506666706,True
8,fixed_manifest,133333.33333333334,153225.21984000003,19891.88650666669,True
9,fixed_manifest,150000.0,169891.88650666672,19891.88650666672,True
10,fixed_manifest,166666.6666666667,186558.55317333338,19891.88650666669,True
11,fixed_manifest,183333.33333333334,203225.21984000006,19891.88650666672,True
12,fixed_manifest,200000.0,219891.88650666672,19891.88650666672,True
13,fixed_manifest,216666.6666666667,236558.55317333338,19891.88650666669,True
14,fixed_manifest,233333.33333333334,253225.2198399998,19891.88650666646,True
15,fixed_manifest,250000.00000000003,268745.3513599988,18745.35135999878,True
