linear_speedup_assumed,pcie_fixed_us_assumed,pcie_bandwidth_GBps_assumed,selected_full_ffns,selected_singleton_linears,gpu_only_us,fixed_ffn_us,automatic_dp_us,automatic_vs_gpu_speedup,automatic_vs_fixed_ffn_speedup,cross_device_edges
1.0,0.0,1.5,0,0,24749.01344,30279.66944,24749.01344,1.0,1.22347,0
1.0,0.0,3.2,0,0,24749.01344,27707.63744,24749.01344,1.0,1.119545,0
1.0,0.0,6.4,0,0,24749.01344,26572.91744,24749.01344,1.0,1.073696,0
1.0,25.0,1.5,0,0,24749.01344,30879.66944,24749.01344,1.0,1.247713,0
1.0,25.0,3.2,0,0,24749.01344,28307.63744,24749.01344,1.0,1.143789,0
1.0,25.0,6.4,0,0,24749.01344,27172.91744,24749.01344,1.0,1.097939,0
1.0,100.0,1.5,0,0,24749.01344,32679.66944,24749.01344,1.0,1.320443,0
1.0,100.0,3.2,0,0,24749.01344,30107.63744,24749.01344,1.0,1.216519,0
1.0,100.0,6.4,0,0,24749.01344,28972.91744,24749.01344,1.0,1.17067,0
1.0,300.0,1.5,0,0,24749.01344,37479.66944,24749.01344,1.0,1.51439,0
1.0,300.0,3.2,0,0,24749.01344,34907.63744,24749.01344,1.0,1.410466,0
1.0,300.0,6.4,0,0,24749.01344,33772.91744,24749.01344,1.0,1.364617,0
1.0,600.0,1.5,0,0,24749.01344,44679.66944,24749.01344,1.0,1.805311,0
1.0,600.0,3.2,0,0,24749.01344,42107.63744,24749.01344,1.0,1.701387,0
1.0,600.0,6.4,0,0,24749.01344,40972.91744,24749.01344,1.0,1.655537,0
2.0,0.0,1.5,12,0,24749.01344,23307.94976,23307.94976,1.061827,1.0,24
2.0,0.0,3.2,12,0,24749.01344,20735.91776,20735.91776,1.193534,1.0,24
2.0,0.0,6.4,12,0,24749.01344,19601.19776,19601.19776,1.262628,1.0,24
2.0,25.0,1.5,12,0,24749.01344,23907.94976,23907.94976,1.035179,1.0,24
2.0,25.0,3.2,12,0,24749.01344,21335.91776,21335.91776,1.159969,1.0,24
2.0,25.0,6.4,12,0,24749.01344,20201.19776,20201.19776,1.225126,1.0,24
2.0,100.0,1.5,0,0,24749.01344,25707.94976,24749.01344,1.0,1.038746,0
2.0,100.0,3.2,12,0,24749.01344,23135.91776,23135.91776,1.069723,1.0,24
2.0,100.0,6.4,12,0,24749.01344,22001.19776,22001.19776,1.124894,1.0,24
2.0,300.0,1.5,0,0,24749.01344,30507.94976,24749.01344,1.0,1.232694,0
2.0,300.0,3.2,0,0,24749.01344,27935.91776,24749.01344,1.0,1.128769,0
2.0,300.0,6.4,0,0,24749.01344,26801.19776,24749.01344,1.0,1.08292,0
2.0,600.0,1.5,0,0,24749.01344,37707.94976,24749.01344,1.0,1.523614,0
2.0,600.0,3.2,0,0,24749.01344,35135.91776,24749.01344,1.0,1.41969,0
2.0,600.0,6.4,0,0,24749.01344,34001.19776,24749.01344,1.0,1.373841,0
4.0,0.0,1.5,12,0,24749.01344,19822.08992,19822.08992,1.248557,1.0,24
4.0,0.0,3.2,12,0,24749.01344,17250.05792,17250.05792,1.434721,1.0,24
4.0,0.0,6.4,12,0,24749.01344,16115.33792,16115.33792,1.535743,1.0,24
4.0,25.0,1.5,12,0,24749.01344,20422.08992,20422.08992,1.211875,1.0,24
4.0,25.0,3.2,12,0,24749.01344,17850.05792,17850.05792,1.386495,1.0,24
4.0,25.0,6.4,12,0,24749.01344,16715.33792,16715.33792,1.480617,1.0,24
4.0,100.0,1.5,12,0,24749.01344,22222.08992,22222.08992,1.113712,1.0,24
4.0,100.0,3.2,12,0,24749.01344,19650.05792,19650.05792,1.259488,1.0,24
4.0,100.0,6.4,12,0,24749.01344,18515.33792,18515.33792,1.336676,1.0,24
4.0,300.0,1.5,0,0,24749.01344,27022.08992,24749.01344,1.0,1.091845,0
4.0,300.0,3.2,12,0,24749.01344,24450.05792,24450.05792,1.012227,1.0,24
4.0,300.0,6.4,12,0,24749.01344,23315.33792,23315.33792,1.061491,1.0,24
4.0,600.0,1.5,0,0,24749.01344,34222.08992,24749.01344,1.0,1.382766,0
4.0,600.0,3.2,0,0,24749.01344,31650.05792,24749.01344,1.0,1.278841,0
4.0,600.0,6.4,0,0,24749.01344,30515.33792,24749.01344,1.0,1.232992,0
8.0,0.0,1.5,12,0,24749.01344,18079.16,18079.16,1.368925,1.0,24
8.0,0.0,3.2,12,0,24749.01344,15507.128,15507.128,1.595977,1.0,24
8.0,0.0,6.4,12,0,24749.01344,14372.408,14372.408,1.721981,1.0,24
8.0,25.0,1.5,12,0,24749.01344,18679.16,18679.16,1.324953,1.0,24
8.0,25.0,3.2,12,0,24749.01344,16107.128,16107.128,1.536526,1.0,24
8.0,25.0,6.4,12,0,24749.01344,14972.408,14972.408,1.652975,1.0,24
8.0,100.0,1.5,12,0,24749.01344,20479.16,20479.16,1.208497,1.0,24
8.0,100.0,3.2,12,0,24749.01344,17907.128,17907.128,1.382076,1.0,24
8.0,100.0,6.4,12,0,24749.01344,16772.408,16772.408,1.475579,1.0,24
8.0,300.0,1.5,0,0,24749.01344,25279.16,24749.01344,1.0,1.021421,0
8.0,300.0,3.2,12,0,24749.01344,22707.128,22707.128,1.089923,1.0,24
8.0,300.0,6.4,12,0,24749.01344,21572.408,21572.408,1.147253,1.0,24
8.0,600.0,1.5,0,0,24749.01344,32479.16,24749.01344,1.0,1.312342,0
8.0,600.0,3.2,0,0,24749.01344,29907.128,24749.01344,1.0,1.208417,0
8.0,600.0,6.4,0,0,24749.01344,28772.408,24749.01344,1.0,1.162568,0
