mode,dma_mode,architecture,tile_tokens,buffers,ffn_latency_us,speedup_vs_monolithic,conservative_buffer_bytes,resident_weight_bytes,total_local_bytes
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,1,1,638.2995199999996,1.0000000000000007,15360,1179648,1195008
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,1,1,10388.123519999845,0.061445122285185304,15360,1179648,1195008
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,1,1,399.39775999999887,1.5981549821411163,15360,1179648,1195008
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,1,1,463.68703999999974,1.3765739926653986,15360,1179648,1195008
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,1,1,10388.123519999845,0.061445122285185304,15360,1179648,1195008
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,1,1,359.41823999999787,1.7759241155930312,15360,1179648,1195008
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,1,2,638.2995199999996,1.0000000000000007,30720,1179648,1210368
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,1,2,10067.375999999902,0.06340276950021596,30720,1179648,1210368
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,1,2,397.31519999999887,1.6065318417216403,30720,1179648,1210368
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,1,2,463.68703999999974,1.3765739926653986,30720,1179648,1210368
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,1,2,10067.375999999902,0.06340276950021596,30720,1179648,1210368
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,1,2,267.89695999999776,2.3826306950254508,30720,1179648,1210368
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,2,1,638.2995199999996,1.0000000000000007,30720,1179648,1210368
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,2,1,5488.251520000012,0.11630289130772174,30720,1179648,1210368
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,2,1,399.76511999999985,1.5966863742389539,30720,1179648,1210368
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,2,1,464.5779199999998,1.3739342584339789,30720,1179648,1210368
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,2,1,5488.251520000012,0.11630289130772174,30720,1179648,1210368
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,2,1,360.4563199999985,1.7708096226472119,30720,1179648,1210368
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,2,2,638.2995199999996,1.0000000000000007,61440,1179648,1241088
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,2,2,5167.504000000004,0.12352182407599481,61440,1179648,1241088
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,2,2,395.34399999999994,1.614542069691206,61440,1179648,1241088
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,2,2,464.5779199999998,1.3739342584339789,61440,1179648,1241088
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,2,2,5167.504000000004,0.12352182407599481,61440,1179648,1241088
end_to_end_tile_stream,streaming_descriptor,independent_fc_engines,2,2,268.5113600000006,2.3771788277412123,61440,1179648,1241088
internal_dataflow_whole_tensor_dma,whole_tensor,shared_fc_engine,4,1,638.2995199999992,1.0000000000000013,61440,1179648,1241088
end_to_end_tile_stream,per_tile_dma,shared_fc_engine,4,1,3038.5075200000083,0.21007008072173483,61440,1179648,1241088
end_to_end_tile_stream,streaming_descriptor,shared_fc_engine,4,1,401.06559999999905,1.5915090199708017,61440,1179648,1241088
internal_dataflow_whole_tensor_dma,whole_tensor,independent_fc_engines,4,1,466.35967999999986,1.3686850458427287,61440,1179648,1241088
end_to_end_tile_stream,per_tile_dma,independent_fc_engines,4,1,3038.5075200000083,0.21007008072173483,61440,1179648,1241088
