aux_streams,cuda_graph,include_transfers,precision,batch,median_ms,p95_ms,mean_ms,throughput_requests_per_s,enqueue_ms,h2d_ms,d2h_ms,samples,model_sha256,engine_sha256,jetson_sku,power_mode,trt_version,raw_log
0,false,false,FP16,1,,,,,,,,,,,,,,
0,false,true,FP16,1,,,,,,,,,,,,,,
0,true,false,FP16,1,,,,,,,,,,,,,,
0,true,true,FP16,1,,,,,,,,,,,,,,
1,false,false,FP16,1,,,,,,,,,,,,,,
1,false,true,FP16,1,,,,,,,,,,,,,,
1,true,false,FP16,1,,,,,,,,,,,,,,
1,true,true,FP16,1,,,,,,,,,,,,,,
2,false,false,FP16,1,,,,,,,,,,,,,,
2,false,true,FP16,1,,,,,,,,,,,,,,
2,true,false,FP16,1,,,,,,,,,,,,,,
2,true,true,FP16,1,,,,,,,,,,,,,,
4,false,false,FP16,1,,,,,,,,,,,,,,
4,false,true,FP16,1,,,,,,,,,,,,,,
4,true,false,FP16,1,,,,,,,,,,,,,,
4,true,true,FP16,1,,,,,,,,,,,,,,
